,,,EleR_01,HydR_01
period1,sc01,t0145, 0.109726925 ,
period1,sc01,t0146, 0.0763699398 ,
period1,sc01,t0147, 0.05947199335 ,
period1,sc01,t0148, 0.047731212375 ,
period1,sc01,t0149, 0.0557412779 ,
period1,sc01,t0150, 0.06254434725 ,
period1,sc01,t0151, 0.305589486125 ,
period1,sc01,t0152, 0.395785018475 ,
period1,sc01,t0153, 0.4095008841 ,
period1,sc01,t0154, 0.3840442375 ,
period1,sc01,t0155, 0.37592444505 ,
period1,sc01,t0156, 0.3800940682 ,
period1,sc01,t0157, 0.365061479475 ,
period1,sc01,t0158, 0.365061479475 ,
period1,sc01,t0159, 0.34607872145 ,
period1,sc01,t0160, 0.3559541447 ,
period1,sc01,t0161, 0.31842753635 ,
period1,sc01,t0162, 0.323584701825 ,
period1,sc01,t0163, 0.294836247475 ,
period1,sc01,t0164, 0.225488830875 ,
period1,sc01,t0165, 0.16217639515 ,
period1,sc01,t0166, 0.067482058875 ,
period1,sc01,t0167, 0.0539856471 ,
period1,sc01,t0168, 0.044219950775 ,
period1,sc01,t0169, 0.109836651925 ,
period1,sc01,t0170, 0.11389654815 ,
period1,sc01,t0171, 0.15339824115 ,
period1,sc01,t0172, 0.147143806425 ,
period1,sc01,t0173, 0.17578253385 ,
period1,sc01,t0174, 0.202665630475 ,
period1,sc01,t0175, 0.226366646275 ,
period1,sc01,t0176, 0.4516360233 ,
period1,sc01,t0177, 0.602949452875 ,
period1,sc01,t0178, 0.6952297968 ,
period1,sc01,t0179, 0.74153455915 ,
period1,sc01,t0180, 0.77971952905 ,
period1,sc01,t0181, 0.767759294225 ,
period1,sc01,t0182, 0.8229519375 ,
period1,sc01,t0183, 0.8984440619 ,
period1,sc01,t0184, 1.16903065895 ,
period1,sc01,t0185, 1.470231068075 ,
period1,sc01,t0186, 1.645355240375 ,
period1,sc01,t0187, 1.547698277125 ,
period1,sc01,t0188, 1.5331045961 ,
period1,sc01,t0189, 1.166506939675 ,
period1,sc01,t0190, 1.026714837225 ,
period1,sc01,t0191, 0.83151063765 ,
period1,sc01,t0192, 0.543477459525 ,
period1,sc01,t0193, 0.3616599448 ,
period1,sc01,t0194, 0.338507563625 ,
period1,sc01,t0195, 0.3318142212 ,
period1,sc01,t0196, 0.3383978367 ,
period1,sc01,t0197, 0.3590264986 ,
period1,sc01,t0198, 0.475666219875 ,
period1,sc01,t0199, 0.751519709325 ,
period1,sc01,t0200, 1.6318588286 ,
period1,sc01,t0201, 1.7828430774 ,
period1,sc01,t0202, 1.6959393528 ,
period1,sc01,t0203, 1.600367201125 ,
period1,sc01,t0204, 1.565035131275 ,
period1,sc01,t0205, 1.429412651975 ,
period1,sc01,t0206, 1.351725989075 ,
period1,sc01,t0207, 1.383107889625 ,
period1,sc01,t0208, 1.443457698375 ,
period1,sc01,t0209, 1.4598070102 ,
period1,sc01,t0210, 1.488665191475 ,
period1,sc01,t0211, 1.528386338325 ,
period1,sc01,t0212, 1.400005836075 ,
period1,sc01,t0213, 1.316613373075 ,
period1,sc01,t0214, 1.1249204351 ,
period1,sc01,t0215, 1.073677961125 ,
period1,sc01,t0216, 0.751958617025 ,
period1,sc01,t0217, 0.7382427514 ,
period1,sc01,t0218, 0.603168906725 ,
period1,sc01,t0219, 0.56728820225 ,
period1,sc01,t0220, 0.52668924 ,
period1,sc01,t0221, 0.545891451875 ,
period1,sc01,t0222, 0.64716940365 ,
period1,sc01,t0223, 1.0656678956 ,
period1,sc01,t0224, 1.3676363932 ,
period1,sc01,t0225, 1.5388103962 ,
period1,sc01,t0226, 1.4984308878 ,
period1,sc01,t0227, 1.35951660075 ,
period1,sc01,t0228, 1.2535203912 ,
period1,sc01,t0229, 1.190866317025 ,
period1,sc01,t0230, 1.152681347125 ,
period1,sc01,t0231, 1.20107092105 ,
period1,sc01,t0232, 1.37882853955 ,
period1,sc01,t0233, 1.43018074045 ,
period1,sc01,t0234, 1.515438561175 ,
period1,sc01,t0235, 1.491298637675 ,
period1,sc01,t0236, 1.05337848 ,
period1,sc01,t0237, 0.60327863365 ,
period1,sc01,t0238, 0.503536858825 ,
period1,sc01,t0239, 0.440992511575 ,
period1,sc01,t0240, 0.36275721405 ,
period1,sc01,t0241, 0.305370032275 ,
period1,sc01,t0242, 0.23942415035 ,
period1,sc01,t0243, 0.19289993415 ,
period1,sc01,t0244, 0.109836651925 ,
period1,sc01,t0245, 0.192570753375 ,
period1,sc01,t0246, 0.2734394971 ,
period1,sc01,t0247, 0.298457236 ,
period1,sc01,t0248, 0.385470687525 ,
period1,sc01,t0249, 0.4222292074 ,
period1,sc01,t0250, 0.444723227025 ,
period1,sc01,t0251, 0.460084996525 ,
period1,sc01,t0252, 0.46107253885 ,
period1,sc01,t0253, 0.45536673875 ,
period1,sc01,t0254, 0.477860758375 ,
period1,sc01,t0255, 0.47687321605 ,
period1,sc01,t0256, 0.483347104625 ,
period1,sc01,t0257, 0.510778835875 ,
period1,sc01,t0258, 0.549841621175 ,
period1,sc01,t0259, 0.514729005175 ,
period1,sc01,t0260, 0.486419458525 ,
period1,sc01,t0261, 0.464474073525 ,
period1,sc01,t0262, 0.466449158175 ,
period1,sc01,t0263, 0.44483295395 ,
period1,sc01,t0264, 0.386787410625 ,
period1,sc01,t0265, 0.3392756521 ,
period1,sc01,t0266, 0.286935908875 ,
period1,sc01,t0267, 0.275963216375 ,
period1,sc01,t0268, 0.333021217375 ,
period1,sc01,t0269, 0.3757049912 ,
period1,sc01,t0270, 0.387884679875 ,
period1,sc01,t0271, 0.393809933825 ,
period1,sc01,t0272, 0.400174095475 ,
period1,sc01,t0273, 0.43078790755 ,
period1,sc01,t0274, 0.58747795645 ,
period1,sc01,t0275, 0.7619437672 ,
period1,sc01,t0276, 0.88022939235 ,
period1,sc01,t0277, 0.78805877535 ,
period1,sc01,t0278, 0.743619370725 ,
period1,sc01,t0279, 0.968559566975 ,
period1,sc01,t0280, 1.18351461305 ,
period1,sc01,t0281, 1.430729375075 ,
period1,sc01,t0282, 1.517633099675 ,
period1,sc01,t0283, 1.607170270475 ,
period1,sc01,t0284, 1.33362104645 ,
period1,sc01,t0285, 1.145878277775 ,
period1,sc01,t0286, 1.141489200775 ,
period1,sc01,t0287, 0.79683692935 ,
period1,sc01,t0288, 0.46238926195 ,
period1,sc01,t0289, 0.35310124465 ,
period1,sc01,t0290, 0.353210971575 ,
period1,sc01,t0291, 0.3283029596 ,
period1,sc01,t0292, 0.292861162825 ,
period1,sc01,t0293, 0.2804620203 ,
period1,sc01,t0294, 0.339385379025 ,
period1,sc01,t0295, 0.37285209115 ,
period1,sc01,t0296, 0.552036159675 ,
period1,sc01,t0297, 0.72134480495 ,
period1,sc01,t0298, 0.375595264275 ,
period1,sc01,t0299, 0.302297678375 ,
period1,sc01,t0300, 0.289679082 ,
period1,sc01,t0301, 0.27497567405 ,
period1,sc01,t0302, 0.23722961185 ,
period1,sc01,t0303, 0.222197023125 ,
period1,sc01,t0304, 0.2159425884 ,
period1,sc01,t0305, 0.21572313455 ,
period1,sc01,t0306, 0.21440641145 ,
period1,sc01,t0307, 0.200909999675 ,
period1,sc01,t0308, 0.184012053225 ,
period1,sc01,t0309, 0.044658858475 ,
period1,sc01,t0310, 0.02216483885 ,
period1,sc01,t0311, 0.01777576185 ,
period1,sc01,t0312, 0.00109726925 ,
period1,sc01,t0313, 0 ,
period1,sc01,t0314, 0 ,
period1,sc01,t0315,-0.00021945385 ,
period1,sc01,t0316,-0.001206996175 ,
period1,sc01,t0317, 0 ,
period1,sc01,t0318, 0.01163105405 ,
period1,sc01,t0319, 0.01997030035 ,
period1,sc01,t0320, 0.036539066025 ,
period1,sc01,t0321, 0.2093589729 ,
period1,sc01,t0322, 0.210565969075 ,
period1,sc01,t0323, 0.186864953275 ,
period1,sc01,t0324, 0.209468699825 ,
period1,sc01,t0325, 0.208590884425 ,
period1,sc01,t0326, 0.21001733445 ,
period1,sc01,t0327, 0.219124669225 ,
period1,sc01,t0328, 0.238436608025 ,
period1,sc01,t0329, 0.26334462 ,
period1,sc01,t0330, 0.2598333584 ,
period1,sc01,t0331, 0.2571999122 ,
period1,sc01,t0332, 0.258187454525 ,
period1,sc01,t0333, 0.22230675005 ,
period1,sc01,t0334, 0.23591288875 ,
period1,sc01,t0335, 0.2624668046 ,
period1,sc01,t0336, 0.2418381427 ,
period1,sc01,t0337, 0.245459131225 ,
period1,sc01,t0338, 0.247434215875 ,
period1,sc01,t0339, 0.25039684285 ,
period1,sc01,t0340, 0.37548553735 ,
period1,sc01,t0341, 0.391395941475 ,
period1,sc01,t0342, 0.544355274925 ,
period1,sc01,t0343, 1.468036529575 ,
period1,sc01,t0344, 2.12804398345 ,
period1,sc01,t0345, 3.322202108225 ,
period1,sc01,t0346, 1.677834410175 ,
period1,sc01,t0347, 1.150706262475 ,
period1,sc01,t0348, 0.8067123526 ,
period1,sc01,t0349, 0.71739463565 ,
period1,sc01,t0350, 0.7000577815 ,
period1,sc01,t0351, 0.3493705292 ,
period1,sc01,t0352, 0.3388367444 ,
period1,sc01,t0353, 0.40489235325 ,
period1,sc01,t0354, 0.381301064375 ,
period1,sc01,t0355, 0.278377208725 ,
period1,sc01,t0356, 0.254017831375 ,
period1,sc01,t0357, 0.22845145785 ,
period1,sc01,t0358, 0.21747876535 ,
period1,sc01,t0359, 0.06517779345 ,
period1,sc01,t0360, 0.0017556308 ,
period1,sc01,t0361,-0.001206996175 ,
period1,sc01,t0362,-0.002084811575 ,
period1,sc01,t0363,-0.002084811575 ,
period1,sc01,t0364,-0.00197508465 ,
period1,sc01,t0365,-0.002084811575 ,
period1,sc01,t0366, 0.01338668485 ,
period1,sc01,t0367, 0.231194630975 ,
period1,sc01,t0368, 0.273329770175 ,
period1,sc01,t0369, 0.442967596225 ,
period1,sc01,t0370, 0.29604324365 ,
period1,sc01,t0371, 0.2800231126 ,
period1,sc01,t0372, 0.2703671432 ,
period1,sc01,t0373, 0.26707533545 ,
period1,sc01,t0374, 0.24732448895 ,
period1,sc01,t0375, 0.24161868885 ,
period1,sc01,t0376, 0.269160147025 ,
period1,sc01,t0377, 0.27234222785 ,
period1,sc01,t0378, 0.30350467455 ,
period1,sc01,t0379, 0.27058659705 ,
period1,sc01,t0380, 0.246336946625 ,
period1,sc01,t0381, 0.23371835025 ,
period1,sc01,t0382, 0.22450128855 ,
period1,sc01,t0383, 0.1834634186 ,
period1,sc01,t0384, 0.07922283985 ,
period1,sc01,t0385, 0.0162395849 ,
period1,sc01,t0386, 0.012399142525 ,
period1,sc01,t0387, 0.011301873275 ,
period1,sc01,t0388, 0.012618596375 ,
period1,sc01,t0389, 0.023591288875 ,
period1,sc01,t0390, 0.038075242975 ,
period1,sc01,t0391, 0.2190149423 ,
period1,sc01,t0392, 0.27365895095 ,
period1,sc01,t0393, 0.313489824725 ,
period1,sc01,t0394, 0.28375382805 ,
period1,sc01,t0395, 0.266965608525 ,
period1,sc01,t0396, 0.2409603273 ,
period1,sc01,t0397, 0.236022615675 ,
period1,sc01,t0398, 0.232621081 ,
period1,sc01,t0399, 0.232950261775 ,
period1,sc01,t0400, 0.236680977225 ,
period1,sc01,t0401, 0.24074087345 ,
period1,sc01,t0402, 0.239533877275 ,
period1,sc01,t0403, 0.23415725795 ,
period1,sc01,t0404, 0.1549344181 ,
period1,sc01,t0405, 0.0280900928 ,
period1,sc01,t0406, 0.0149228618 ,
period1,sc01,t0407, 0 ,
period1,sc01,t0408,-0.0021945385 ,
period1,sc01,t0409,-0.002084811575 ,
period1,sc01,t0410,-0.002084811575 ,
period1,sc01,t0411,-0.002084811575 ,
period1,sc01,t0412,-0.00197508465 ,
period1,sc01,t0413, 0.000109726925 ,
period1,sc01,t0414, 0.02172593115 ,
period1,sc01,t0415, 0.216052315325 ,
period1,sc01,t0416, 0.236022615675 ,
period1,sc01,t0417, 0.25259138135 ,
period1,sc01,t0418, 0.26795315085 ,
period1,sc01,t0419, 0.274427039425 ,
period1,sc01,t0420, 0.2743173125 ,
period1,sc01,t0421, 0.27058659705 ,
period1,sc01,t0422, 0.2664169739 ,
period1,sc01,t0423, 0.26926987395 ,
period1,sc01,t0424, 0.276841031775 ,
period1,sc01,t0425, 0.28375382805 ,
period1,sc01,t0426, 0.285399731925 ,
period1,sc01,t0427, 0.2835343742 ,
period1,sc01,t0428, 0.27365895095 ,
period1,sc01,t0429, 0.264771070025 ,
period1,sc01,t0430, 0.282107924175 ,
period1,sc01,t0431, 0.339604832875 ,
period1,sc01,t0432, 0.24337431965 ,
period1,sc01,t0433, 0.298457236 ,
period1,sc01,t0434, 0.1935582957 ,
period1,sc01,t0435, 0.172380999175 ,
period1,sc01,t0436, 0.1882914033 ,
period1,sc01,t0437, 0.167114106775 ,
period1,sc01,t0438, 0.189498399475 ,
period1,sc01,t0439, 0.2023364497 ,
period1,sc01,t0440, 0.2387657888 ,
period1,sc01,t0441, 0.2449104966 ,
period1,sc01,t0442, 0.259284723775 ,
period1,sc01,t0443, 0.26707533545 ,
period1,sc01,t0444, 0.27014768935 ,
period1,sc01,t0445, 0.270696323975 ,
period1,sc01,t0446, 0.2716838663 ,
period1,sc01,t0447, 0.275304854825 ,
period1,sc01,t0448, 0.290886078175 ,
period1,sc01,t0449, 0.525921151525 ,
period1,sc01,t0450, 0.741644286075 ,
period1,sc01,t0451, 0.848957218725 ,
period1,sc01,t0452, 0.769734378875 ,
period1,sc01,t0453, 0.419486034275 ,
period1,sc01,t0454, 0.317659447875 ,
period1,sc01,t0455, 0.2958237898 ,
period1,sc01,t0456, 0.283424647275 ,
period1,sc01,t0457, 0.360672402475 ,
period1,sc01,t0458, 0.347724625325 ,
period1,sc01,t0459, 0.357819502425 ,
period1,sc01,t0460, 0.35112616 ,
period1,sc01,t0461, 0.367036564125 ,
period1,sc01,t0462, 0.54578172495 ,
period1,sc01,t0463, 0.92412016235 ,
period1,sc01,t0464, 2.68589567015 ,
period1,sc01,t0465, 4.31643777565 ,
period1,sc01,t0466, 3.04360544565 ,
period1,sc01,t0467, 2.508247778575 ,
period1,sc01,t0468, 2.0066860044 ,
period1,sc01,t0469, 1.878634682925 ,
period1,sc01,t0470, 1.82475876275 ,
period1,sc01,t0471, 2.077459871025 ,
period1,sc01,t0472, 3.01507644515 ,
period1,sc01,t0473, 3.58390082435 ,
period1,sc01,t0474, 3.566454243275 ,
period1,sc01,t0475, 2.4793895973 ,
period1,sc01,t0476, 1.8776471406 ,
period1,sc01,t0477, 1.14840199705 ,
period1,sc01,t0478, 1.044600326 ,
period1,sc01,t0479, 0.5710189177 ,
period1,sc01,t0480, 0.440773057725 ,
period1,sc01,t0481, 0.3849220529 ,
period1,sc01,t0482, 0.39918655315 ,
period1,sc01,t0483, 0.393809933825 ,
period1,sc01,t0484, 0.3814107913 ,
period1,sc01,t0485, 0.40094218395 ,
period1,sc01,t0486, 0.453501381025 ,
period1,sc01,t0487, 0.5376619325 ,
period1,sc01,t0488, 1.23135555235 ,
period1,sc01,t0489, 1.755740526925 ,
period1,sc01,t0490, 1.645574694225 ,
period1,sc01,t0491, 1.60442709735 ,
period1,sc01,t0492, 1.230587463875 ,
period1,sc01,t0493, 1.1459880047 ,
period1,sc01,t0494, 1.081139392025 ,
period1,sc01,t0495, 1.074336322675 ,
period1,sc01,t0496, 1.191524678575 ,
period1,sc01,t0497, 1.32659852325 ,
period1,sc01,t0498, 1.717555557025 ,
period1,sc01,t0499, 1.425901390375 ,
period1,sc01,t0500, 0.9528686167 ,
period1,sc01,t0501, 0.670102330975 ,
period1,sc01,t0502, 0.6192987647 ,
period1,sc01,t0503, 0.4893820855 ,
period1,sc01,t0504, 0.3353254828 ,
period1,sc01,t0505, 0.36890192185 ,
period1,sc01,t0506, 0.345968994525 ,
period1,sc01,t0507, 0.332143401975 ,
period1,sc01,t0508, 0.339165925175 ,
period1,sc01,t0509, 0.348163533025 ,
period1,sc01,t0510, 0.410049518725 ,
period1,sc01,t0511, 0.748227901575 ,
period1,sc01,t0512, 1.64919568275 ,
period1,sc01,t0513, 1.73302705345 ,
period1,sc01,t0514, 1.99329931955 ,
period1,sc01,t0515, 1.903871875675 ,
period1,sc01,t0516, 1.83880380915 ,
period1,sc01,t0517, 1.75804479235 ,
period1,sc01,t0518, 1.811262350975 ,
period1,sc01,t0519, 1.91692937975 ,
period1,sc01,t0520, 2.084701848075 ,
period1,sc01,t0521, 2.120692279475 ,
period1,sc01,t0522, 2.226688489025 ,
period1,sc01,t0523, 1.922305999075 ,
period1,sc01,t0524, 1.780099904275 ,
period1,sc01,t0525, 1.426340298075 ,
period1,sc01,t0526, 1.35863878535 ,
period1,sc01,t0527, 1.13655148915 ,
period1,sc01,t0528, 0.642012238175 ,
period1,sc01,t0529, 0.54270937105 ,
period1,sc01,t0530, 0.43298244605 ,
period1,sc01,t0531, 0.41542613805 ,
period1,sc01,t0532, 0.41542613805 ,
period1,sc01,t0533, 0.415096957275 ,
period1,sc01,t0534, 0.41849849195 ,
period1,sc01,t0535, 0.992918944325 ,
period1,sc01,t0536, 1.4672684411 ,
period1,sc01,t0537, 1.703510510625 ,
period1,sc01,t0538, 1.546162100175 ,
period1,sc01,t0539, 1.27129615305 ,
period1,sc01,t0540, 1.201839009525 ,
period1,sc01,t0541, 1.0169491409 ,
period1,sc01,t0542, 0.927302243175 ,
period1,sc01,t0543, 0.80166491405 ,
period1,sc01,t0544, 0.71520009715 ,
period1,sc01,t0545, 0.91314746985 ,
period1,sc01,t0546, 0.979093351775 ,
period1,sc01,t0547, 0.89207990025 ,
period1,sc01,t0548, 0.75119052855 ,
period1,sc01,t0549, 0.591757306525 ,
period1,sc01,t0550, 0.4419800539 ,
period1,sc01,t0551, 0.28945962815 ,
period1,sc01,t0552, 0.2782674818 ,
period1,sc01,t0553, 0.265209977725 ,
period1,sc01,t0554, 0.2607111738 ,
period1,sc01,t0555, 0.259065269925 ,
period1,sc01,t0556, 0.25829718145 ,
period1,sc01,t0557, 0.25698045835 ,
period1,sc01,t0558, 0.271135231675 ,
period1,sc01,t0559, 0.307125663075 ,
period1,sc01,t0560, 0.621822483975 ,
period1,sc01,t0561, 0.756347694025 ,
period1,sc01,t0562, 0.599218737425 ,
period1,sc01,t0563, 0.51769163215 ,
period1,sc01,t0564, 0.462718442725 ,
period1,sc01,t0565, 0.40357563015 ,
period1,sc01,t0566, 0.3928223915 ,
period1,sc01,t0567, 0.34037292135 ,
period1,sc01,t0568, 0.31491627475 ,
period1,sc01,t0569, 0.31184392085 ,
period1,sc01,t0570, 0.2839732819 ,
period1,sc01,t0571, 0.26707533545 ,
period1,sc01,t0572, 0.243703500425 ,
period1,sc01,t0573, 0.2334988964 ,
period1,sc01,t0574, 0.18982758025 ,
period1,sc01,t0575, 0.0785644783 ,
period1,sc01,t0576, 0.042683773825 ,
period1,sc01,t0577, 0.03094299285 ,
period1,sc01,t0578, 0.024469104275 ,
period1,sc01,t0579, 0.01119214635 ,
period1,sc01,t0580, 0.00811979245 ,
period1,sc01,t0581, 0.0074614309 ,
