,,,EleD_01,HydD1,EleD_02,EleD_03,EleD_04,EleD_05,EleD_06,EleD_07,EleD_08,EleD_09,EleD_10
period1,sc01,t0001, 0.207728525407663 ,, 0.208304566296776 , 0.437917916780717 , 0.241073957425167 , 0.209952741474434 , 0.248362980370825 , 0.251915632464376 , 0.247848565957972 , 0.254487455248296 , 3.74128574986844 
period1,sc01,t0002, 0.207680194058216 ,, 0.200270031535273 , 0.23923810414663 , 0.2458838440725 , 0.239888146905762 , 0.248607559583603 , 3.47486232510583 , 0.253451562333267 , 0.259848569534529 , 3.78478783149192 
period1,sc01,t0003, 0.21955771542199 ,, 0.217308857680213 , 0.231476959540496 , 0.236607156034046 , 0.214174920541467 , 0.25769736407087 , 0.245428082671548 , 3.38325204114233 , 3.64232533448856 , 0.251302190427141 
period1,sc01,t0004, 0.215568054983888 ,, 0.222718267092892 , 0.238717321631522 , 0.240235560350962 , 0.218865311145232 , 3.96431248281433 , 0.245385412866731 , 0.264227374874988 , 0.248723693640703 , 0.258483255278843 
period1,sc01,t0005, 0.228120223669677 ,, 0.195633872073507 , 0.243918413318975 , 0.212934791838701 , 0.218411758955438 , 0.24260486691579 , 3.99322888453084 , 3.24094673175628 , 3.46693511805781 , 3.85590547752561 
period1,sc01,t0006, 0.218999083906044 ,, 0.224426844017829 , 0.214950155860173 , 0.224324233844066 , 0.225263760031823 , 3.41471108068147 , 0.258813031407929 , 3.35592087927661 , 0.234619255311215 , 0.247389991191552 
period1,sc01,t0007, 3.10666200539569 ,, 0.19745373338358 , 0.47033121371732 , 0.20449464964121 , 0.543829888952076 , 0.237636949418007 , 3.33547857540477 , 3.55009445689268 , 0.256117869399812 , 0.243564050915582 
period1,sc01,t0008, 0.219212848375697 ,, 0.204827166680417 , 0.234050700695175 , 0.219791149866361 , 0.240464705664014 , 0.265140518931763 , 0.247304534652594 , 5.33679248418692 , 3.88439039542573 , 6.26773787427296 
period1,sc01,t0009, 0.434992984123132 ,, 0.305545893611002 , 0.221298921636578 , 0.487456270807064 , 0.236326119535884 , 0.478412055674333 , 3.70659902917562 , 2.64644956104817 , 5.7836590109954 , 2.62240942922422 
period1,sc01,t0010, 0.209779959185966 ,, 0.207415191019448 , 3.94000775571824 , 0.342689886769928 , 0.211912575719853 , 0.256842923478952 , 6.39604672388791 , 0.239461870286739 , 6.44278602596904 , 0.225800755968604 
