,,,BESS_01,Wind_01,FC_01
period1,sc01,t0125,1,0.8710829451861288,1.0
period1,sc01,t0126,1,0.8818805821692165,1.0
period1,sc01,t0127,1,0.8971929633106976,1.0
period1,sc01,t0128,1,0.8973397168941807,1.0
period1,sc01,t0129,1,0.8982864649069419,1.0
period1,sc01,t0130,1,0.8983213645466578,1.0
period1,sc01,t0131,1,0.8985072668695898,1.0
period1,sc01,t0132,1,0.897302481953221,1.0
period1,sc01,t0133,1,0.8970829564751268,1.0
period1,sc01,t0134,1,0.8861018546270979,1.0
period1,sc01,t0135,1,0.8810325148455651,1.0
period1,sc01,t0136,1,0.8798902508199359,1.0
period1,sc01,t0137,1,0.8722294876176394,1.0
period1,sc01,t0138,1,0.8151044360356337,1.0
period1,sc01,t0139,1,0.8001167314986455,1.0
period1,sc01,t0140,1,0.8726633586882907,1.0
period1,sc01,t0141,1,0.8970613557641722,1.0
period1,sc01,t0142,1,0.9,1.0
period1,sc01,t0143,1,0.9,1.0
period1,sc01,t0144,1,0.9,1.0
period1,sc01,t0145,1,0.9,1.0
period1,sc01,t0146,1,0.9,1.0
period1,sc01,t0147,1,0.9,1.0
period1,sc01,t0148,1,0.9,1.0
period1,sc01,t0149,1,0.9,1.0
period1,sc01,t0150,1,0.9,1.0
period1,sc01,t0151,1,0.9,1.0
period1,sc01,t0152,1,0.9,1.0
period1,sc01,t0153,1,0.9,1.0
period1,sc01,t0154,1,0.9,1.0
period1,sc01,t0155,1,0.9,1.0
period1,sc01,t0156,1,0.9,1.0
period1,sc01,t0157,1,0.9,1.0
period1,sc01,t0158,1,0.9,1.0
period1,sc01,t0159,1,0.9,1.0
period1,sc01,t0160,1,0.9,1.0
period1,sc01,t0161,1,0.9,1.0
period1,sc01,t0162,1,0.9,1.0
period1,sc01,t0163,1,0.9,1.0
period1,sc01,t0164,1,0.9,1.0
period1,sc01,t0165,1,0.9,1.0
period1,sc01,t0166,1,0.9,1.0
period1,sc01,t0167,1,0.9,1.0
period1,sc01,t0168,1,0.9,1.0
period1,sc01,t0169,1,0.9,1.0
period1,sc01,t0170,1,0.9,1.0
period1,sc01,t0171,1,0.9,1.0
period1,sc01,t0172,1,0.9,1.0
period1,sc01,t0173,1,0.9,1.0
period1,sc01,t0174,1,0.8986192152305496,1.0
period1,sc01,t0175,1,0.8804544862917297,1.0
period1,sc01,t0176,1,0.7962630058748253,1.0
