,,,Type,Switching,InitialPeriod,FinalPeriod,Length,SecurityFactor,TTC,TTCBck,FixedChargeRate,FixedInvestmentCost,BinaryInvestment,InvestmentLo,InvestmentUp
Node2,Node3,p1,,,2020,2050,,0.67,15000.0,15000.0,,,,,
Node3,Node4,p2,,,2020,2050,,0.67,15000.0,15000.0,,,,,
