,,,EleR_01,HydR_01
period1,sc01,t0140,0.24159479299999997,132.8052
period1,sc01,t0141,0.141880222,132.8052
period1,sc01,t0142,0.159587582,132.8052
period1,sc01,t0143,0.08975418099999999,132.8052
period1,sc01,t0144,0.110671,132.8052
period1,sc01,t0145,0.077027016,132.8052
period1,sc01,t0146,0.059983682,132.8052
period1,sc01,t0147,0.048141884999999995,132.8052
period1,sc01,t0148,0.056220868,132.8052
period1,sc01,t0149,0.06308247,132.8052
period1,sc01,t0150,0.308218735,132.8052
period1,sc01,t0151,0.39919029699999997,132.8052
period1,sc01,t0152,0.41302417199999997,132.8052
period1,sc01,t0153,0.38734850000000004,132.8052
period1,sc01,t0154,0.379158846,132.8052
period1,sc01,t0155,0.38336434399999997,132.8052
period1,sc01,t0156,0.368202417,132.8052
period1,sc01,t0157,0.368202417,132.8052
period1,sc01,t0158,0.34905633399999997,132.8052
period1,sc01,t0159,0.35901672399999995,132.8052
period1,sc01,t0160,0.321167242,132.8052
period1,sc01,t0161,0.326368779,132.8052
period1,sc01,t0162,0.29737297700000004,132.8052
period1,sc01,t0163,0.22742890500000001,132.8052
period1,sc01,t0164,0.163571738,132.8052
period1,sc01,t0165,0.068062665,132.8052
period1,sc01,t0166,0.054450132,132.8052
period1,sc01,t0167,0.044600413000000005,132.8052
period1,sc01,t0168,0.110781671,132.8052
period1,sc01,t0169,0.11487649800000001,132.8052
period1,sc01,t0170,0.15471805800000002,132.8052
period1,sc01,t0171,0.148409811,132.8052
period1,sc01,t0172,0.17729494199999998,132.8052
period1,sc01,t0173,0.204409337,132.8052
period1,sc01,t0174,0.22831427299999998,132.8052
period1,sc01,t0175,0.45552183599999996,132.8052
period1,sc01,t0176,0.608137145,132.8052
period1,sc01,t0177,0.701211456,132.8052
period1,sc01,t0178,0.747914618,132.8052
period1,sc01,t0179,0.786428126,132.8052
period1,sc01,t0180,0.774364987,132.8052
period1,sc01,t0181,0.8300325,132.8052
period1,sc01,t0182,0.906174148,132.8052
period1,sc01,t0183,1.179088834,132.8052
period1,sc01,t0184,1.482880729,132.8052
period1,sc01,t0185,1.659511645,132.8052
period1,sc01,t0186,1.561014455,132.8052
period1,sc01,t0187,1.5462952120000002,132.8052
period1,sc01,t0188,1.176543401,132.8052
period1,sc01,t0189,1.0355485469999999,132.8052
period1,sc01,t0190,0.838664838,132.8052
period1,sc01,t0191,0.548153463,132.8052
period1,sc01,t0192,0.364771616,132.8052
period1,sc01,t0193,0.341420035,132.8052
period1,sc01,t0194,0.334669104,132.8052
period1,sc01,t0195,0.341309364,132.8052
period1,sc01,t0196,0.362115512,132.8052
period1,sc01,t0197,0.479758785,132.8052
period1,sc01,t0198,0.7579856789999999,132.8052
period1,sc01,t0199,1.645899112,132.8052
period1,sc01,t0200,1.7981824079999997,132.8052
period1,sc01,t0201,1.710530976,132.8052
period1,sc01,t0202,1.614136535,132.8052
period1,sc01,t0203,1.578500473,132.8052
period1,sc01,t0204,1.4417111169999999,132.8052
period1,sc01,t0205,1.3633560489999998,132.8052
period1,sc01,t0206,1.3950079549999999,132.8052
period1,sc01,t0207,1.455877005,132.8052
period1,sc01,t0208,1.472366984,132.8052
period1,sc01,t0209,1.501473457,132.8052
period1,sc01,t0210,1.541536359,132.8052
period1,sc01,t0211,1.412051289,132.8052
period1,sc01,t0212,1.327941329,132.8052
period1,sc01,t0213,1.134599092,132.8052
period1,sc01,t0214,1.0829157349999998,132.8052
period1,sc01,t0215,0.758428363,132.8052
period1,sc01,t0216,0.744594488,132.8052
period1,sc01,t0217,0.608358487,132.8052
period1,sc01,t0218,0.5721690700000001,132.8052
period1,sc01,t0219,0.5312208,132.8052
period1,sc01,t0220,0.550588225,132.8052
period1,sc01,t0221,0.652737558,132.8052
period1,sc01,t0222,1.074836752,132.8052
period1,sc01,t0223,1.379403344,132.8052
period1,sc01,t0224,1.552050104,132.8052
period1,sc01,t0225,1.511323176,132.8052
