,,,EleD_01,HydD1,EleD_02
period1,sc01,t0128, 8.55 ,, 1.4 
period1,sc01,t0129, 8.71 ,, 1.26 
period1,sc01,t0130, 7.51 ,, 1.1 
period1,sc01,t0131, 11.38 ,, 1.24 
period1,sc01,t0132, 5.55 ,, 0.77 
period1,sc01,t0133, 4.45 ,, 0.74 
period1,sc01,t0134, 6.19 ,, 0.94 
period1,sc01,t0135, 8.99 ,, 0.77 
period1,sc01,t0136, 12.6 ,, 0.76 
period1,sc01,t0137, 10.09 ,, 0.88 
period1,sc01,t0138, 11.86 ,, 2.4 
period1,sc01,t0139, 9.97 ,, 4.02 
period1,sc01,t0140, 10.16 ,, 1.64 
period1,sc01,t0141, 9.3 ,, 1.08 
period1,sc01,t0142, 9.45 ,, 1.46 
period1,sc01,t0143, 7.74 ,, 1.11 
period1,sc01,t0144, 8.75 ,, 1.46 
period1,sc01,t0145, 9.11 ,, 1.14 
period1,sc01,t0146, 8.12 ,, 1.17 
period1,sc01,t0147, 8.07 ,, 1.46 
period1,sc01,t0148, 9.05 ,, 1.42 
period1,sc01,t0149, 8.82 ,, 2.23 
period1,sc01,t0150, 7.07 ,, 2.55 
period1,sc01,t0151, 8.52 ,, 3 
period1,sc01,t0152, 13.44 ,, 1.51 
period1,sc01,t0153, 11.84 ,, 1.68 
period1,sc01,t0154, 8.66 ,, 1.26 
period1,sc01,t0155, 5.45 ,, 1.5 
period1,sc01,t0156, 4.69 ,, 1.04 
period1,sc01,t0157, 6.05 ,, 0.97 
period1,sc01,t0158, 5.76 ,, 1.32 
period1,sc01,t0159, 3.54 ,, 1.13 
period1,sc01,t0160, 4.84 ,, 1.06 
period1,sc01,t0161, 4.7 ,, 1.45 
period1,sc01,t0162, 5.08 ,, 4.03 
period1,sc01,t0163, 5.7 ,, 5.54 
period1,sc01,t0164, 5.42 ,, 1.5 
period1,sc01,t0165, 4.22 ,, 1.37 
period1,sc01,t0166, 4.54 ,, 1.78 
period1,sc01,t0167, 5.94 ,, 1.33 
period1,sc01,t0168, 7.32 ,, 1.23 
period1,sc01,t0169, 10.29 ,, 1.64 
period1,sc01,t0170, 4.14 ,, 1.37 
period1,sc01,t0171, 5.22 ,, 1.41 
period1,sc01,t0172, 6.12 ,, 1.79 
period1,sc01,t0173, 4.34 ,, 1.36 
period1,sc01,t0174, 3.08 ,, 1.44 
period1,sc01,t0175, 5.26 ,, 1.92 
period1,sc01,t0176, 5.31 ,, 1.61 
period1,sc01,t0177, 4.07 ,, 1.21 
period1,sc01,t0178, 4.16 ,, 1.48 
period1,sc01,t0179, 4.07 ,, 1.15 
period1,sc01,t0180, 3.19 ,, 0.99 
period1,sc01,t0181, 3.83 ,, 1.37 
period1,sc01,t0182, 3.93 ,, 1.1 
period1,sc01,t0183, 4.1 ,, 1.3 
period1,sc01,t0184, 4.33 ,, 0.8 
period1,sc01,t0185, 3.68 ,, 3.02 
period1,sc01,t0186, 3.34 ,, 3.54 
period1,sc01,t0187, 4.37 ,, 1.47 
period1,sc01,t0188, 5.07 ,, 2.03 
period1,sc01,t0189, 5.51 ,, 1.41 
period1,sc01,t0190, 5.1 ,, 1.47 
period1,sc01,t0191, 3.51 ,, 1.73 
period1,sc01,t0192, 3.9 ,, 1.27 
period1,sc01,t0193, 3.94 ,, 1.33 
period1,sc01,t0194, 3.93 ,, 1.36 
period1,sc01,t0195, 4.07 ,, 1.5 
period1,sc01,t0196, 4.06 ,, 1.35 
period1,sc01,t0197, 2.97 ,, 1.73 
period1,sc01,t0198, 3.93 ,, 1.41 
period1,sc01,t0199, 4.24 ,, 1.93 
period1,sc01,t0200, 3.96 ,, 2.27 
period1,sc01,t0201, 4.12 ,, 2.38 
period1,sc01,t0202, 4.43 ,, 1.71 
period1,sc01,t0203, 4.52 ,, 2.27 
period1,sc01,t0204, 4.16 ,, 2.14 
period1,sc01,t0205, 5.78 ,, 1.38 
period1,sc01,t0206, 6.44 ,, 3.16 
period1,sc01,t0207, 7.36 ,, 4.05 
period1,sc01,t0208, 10.28 ,, 2.03 
period1,sc01,t0209, 10.01 ,, 1.2 
period1,sc01,t0210, 5.11 ,, 1.59 
period1,sc01,t0211, 4.53 ,, 1.41 
period1,sc01,t0212, 5.39 ,, 1.46 
period1,sc01,t0213, 5.84 ,, 1.9 
