,,,EleD_01,HydD1,EleD_02
period1,sc01,t2313, 0.5144 ,, 0.36 
period1,sc01,t2314, 0.536 ,, 0.59 
period1,sc01,t2315, 0.5576 ,, 1.09 
period1,sc01,t2316, 0.5792 ,, 0.88 
period1,sc01,t2317, 0.6008 ,, 1.28 
period1,sc01,t2318, 0.6224 ,, 1.1 
period1,sc01,t2319, 0.644 ,, 1.15 
period1,sc01,t2320, 0.6656 ,, 1.35 
period1,sc01,t2321, 0.6872 ,, 0.94 
period1,sc01,t2322, 0.7088 ,, 1.21 
period1,sc01,t2323, 0.7304 ,, 2.03 
period1,sc01,t2324, 0.752 ,, 2.04 
period1,sc01,t2325, 0.7736 ,, 3.19 
period1,sc01,t2326, 0.7952 ,, 1.32 
period1,sc01,t2327, 0.8168 ,, 2.05 
period1,sc01,t2328, 0.8384 ,, 0.25 
period1,sc01,t2329, 0.86 ,, 0.23 
period1,sc01,t2330, 1.1 ,, 0.5 
period1,sc01,t2331, 1.33 ,, 0.11 
period1,sc01,t2332, 1.1 ,, 0.12 
period1,sc01,t2333, 0.3 ,, 0.19 
period1,sc01,t2334, 1.24 ,, 0.57 
period1,sc01,t2335, 2.06 ,, 0.14 
period1,sc01,t2336, 1.38 ,, 0.09 
period1,sc01,t2337, 2.8 ,, 0.43 
period1,sc01,t2338, 4.57 ,, 0.17 
period1,sc01,t2339, 3.44 ,, 0.2 
period1,sc01,t2340, 0.59 ,, 0.5 
period1,sc01,t2341, 0.69 ,, 0.19 
period1,sc01,t2342, 0.41 ,, 0.32 
period1,sc01,t2343, 1.26 ,, 0.68 
period1,sc01,t2344, 2.07 ,, 0.35 
period1,sc01,t2345, 2.22 ,, 0.36 
period1,sc01,t2346, 1.85 ,, 0.72 
period1,sc01,t2347, 3.38 ,, 0.31 
period1,sc01,t2348, 1.09 ,, 0.74 
period1,sc01,t2349, 1.78 ,, 0.36 
period1,sc01,t2350, 1.29 ,, 1.59 
period1,sc01,t2351, 1.49 ,, 0.34 
period1,sc01,t2352, 1.01 ,, 0.72 
period1,sc01,t2353, 0.97 ,, 0.38 
period1,sc01,t2354, 2.88 ,, 0.32 
period1,sc01,t2355, 2.09 ,, 0.57 
period1,sc01,t2356, 1.16 ,, 0.35 
period1,sc01,t2357, 1.39 ,, 0.38 
period1,sc01,t2358, 1.65 ,, 0.64 
period1,sc01,t2359, 3.21 ,, 0.34 
period1,sc01,t2360, 0.72 ,, 0.7 
period1,sc01,t2361, 1.04 ,, 0.46 
period1,sc01,t2362, 0.21 ,, 0.79 
period1,sc01,t2363, 1.61 ,, 0.67 
period1,sc01,t2364, 3.5 ,, 1.19 
period1,sc01,t2365, 1.73 ,, 1.05 
period1,sc01,t2366, 0.19 ,, 1 
period1,sc01,t2367, 0.36 ,, 2.14 
period1,sc01,t2368, 1.58 ,, 1.34 
period1,sc01,t2369, 0.43 ,, 0.9 
period1,sc01,t2370, 1.18 ,, 0.97 
period1,sc01,t2371, 1.24 ,, 0.75 
period1,sc01,t2372, 2.26 ,, 2.24 
period1,sc01,t2373, 1.08 ,, 1.04 
period1,sc01,t2374, 1.67 ,, 0.52 
period1,sc01,t2375, 2.16 ,, 0.74 
period1,sc01,t2376, 1.92 ,, 0.39 
period1,sc01,t2377, 1.968 ,, 0.37 
period1,sc01,t2378, 2.016 ,, 0.66 
period1,sc01,t2379, 2.064 ,, 0.35 
period1,sc01,t2380, 2.112 ,, 0.35 
period1,sc01,t2381, 2.16 ,, 0.68 
period1,sc01,t2382, 2.208 ,, 0.27 
period1,sc01,t2383, 2.256 ,, 0.35 
period1,sc01,t2384, 2.304 ,, 1.18 
period1,sc01,t2385, 2.352 ,, 2.58 
period1,sc01,t2386, 2.4 ,, 1.27 
period1,sc01,t2387, 2.448 ,, 0.98 
period1,sc01,t2388, 2.496 ,, 0.52 
period1,sc01,t2389, 2.544 ,, 1.34 
period1,sc01,t2390, 2.592 ,, 0.94 
period1,sc01,t2391, 2.64 ,, 0.58 
period1,sc01,t2392, 2.688 ,, 0.83 
period1,sc01,t2393, 2.736 ,, 0.56 
period1,sc01,t2394, 2.784 ,, 0.94 
period1,sc01,t2395, 2.832 ,, 0.55 
period1,sc01,t2396, 2.88 ,, 1.02 
period1,sc01,t2397, 2.928 ,, 0.68 
period1,sc01,t2398, 2.976 ,, 0.93 
period1,sc01,t2399, 3.024 ,, 0.53 
period1,sc01,t2400, 3.072 ,, 0.5 
period1,sc01,t2401, 3.12 ,, 0.51 
period1,sc01,t2402, 4.09 ,, 0.24 
period1,sc01,t2403, 10.82 ,, 0.35 
period1,sc01,t2404, 4.38 ,, 0.64 
period1,sc01,t2405, 2.88 ,, 0.34 
period1,sc01,t2406, 3.03 ,, 0.32 
period1,sc01,t2407, 3.01 ,, 0.71 
period1,sc01,t2408, 2.45 ,, 0.53 
period1,sc01,t2409, 2.35 ,, 1.36 
period1,sc01,t2410, 1.1 ,, 1.16 
period1,sc01,t2411, 0.71 ,, 1.2 
period1,sc01,t2412, 2.16 ,, 1.14 
period1,sc01,t2413, 0.59 ,, 2.69 
period1,sc01,t2414, 0.49 ,, 1.31 
period1,sc01,t2415, 0.91 ,, 0.73 
period1,sc01,t2416, 1.04 ,, 2.28 
period1,sc01,t2417, 3.12 ,, 1.21 
period1,sc01,t2418, 1.98 ,, 0.36 
period1,sc01,t2419, 1.86 ,, 0.78 
period1,sc01,t2420, 3.47 ,, 0.74 
period1,sc01,t2421, 1.66 ,, 0.68 
period1,sc01,t2422, 1.64 ,, 0.49 
period1,sc01,t2423, 1.43 ,, 0.64 
period1,sc01,t2424, 1.41 ,, 0.35 
period1,sc01,t2425, 1.413195876 ,, 0.33 
period1,sc01,t2426, 1.416391753 ,, 0.61 
period1,sc01,t2427, 1.419587629 ,, 0.25 
period1,sc01,t2428, 1.422783505 ,, 0.22 
period1,sc01,t2429, 1.425979381 ,, 0.3 
period1,sc01,t2430, 1.429175258 ,, 0.69 
period1,sc01,t2431, 1.432371134 ,, 0.67 
period1,sc01,t2432, 1.43556701 ,, 0.27 
period1,sc01,t2433, 1.438762887 ,, 0.19 
period1,sc01,t2434, 1.441958763 ,, 0.41 
period1,sc01,t2435, 1.445154639 ,, 0.31 
period1,sc01,t2436, 1.448350515 ,, 0.27 
period1,sc01,t2437, 1.451546392 ,, 0.27 
period1,sc01,t2438, 1.454742268 ,, 0.52 
period1,sc01,t2439, 1.457938144 ,, 0.16 
period1,sc01,t2440, 1.461134021 ,, 0.7 
period1,sc01,t2441, 1.464329897 ,, 1.12 
period1,sc01,t2442, 1.467525773 ,, 0.97 
period1,sc01,t2443, 1.470721649 ,, 0.85 
period1,sc01,t2444, 1.473917526 ,, 1.02 
period1,sc01,t2445, 1.477113402 ,, 0.34 
period1,sc01,t2446, 1.480309278 ,, 0.38 
period1,sc01,t2447, 1.483505155 ,, 0.64 
period1,sc01,t2448, 1.486701031 ,, 0.31 
period1,sc01,t2449, 1.489896907 ,, 0.36 
period1,sc01,t2450, 1.493092784 ,, 0.75 
period1,sc01,t2451, 1.49628866 ,, 0.32 
period1,sc01,t2452, 1.499484536 ,, 0.27 
period1,sc01,t2453, 1.502680412 ,, 0.28 
period1,sc01,t2454, 1.505876289 ,, 0.97 
period1,sc01,t2455, 1.509072165 ,, 1.08 
period1,sc01,t2456, 1.512268041 ,, 0.58 
period1,sc01,t2457, 1.515463918 ,, 0.49 
period1,sc01,t2458, 1.518659794 ,, 0.77 
period1,sc01,t2459, 1.52185567 ,, 0.37 
period1,sc01,t2460, 1.525051546 ,, 0.24 
period1,sc01,t2461, 1.528247423 ,, 0.25 
period1,sc01,t2462, 1.531443299 ,, 0.66 
period1,sc01,t2463, 1.534639175 ,, 0.33 
period1,sc01,t2464, 1.537835052 ,, 0.69 
period1,sc01,t2465, 1.541030928 ,, 1.32 
period1,sc01,t2466, 1.544226804 ,, 1.28 
period1,sc01,t2467, 1.54742268 ,, 1.05 
period1,sc01,t2468, 1.550618557 ,, 0.44 
period1,sc01,t2469, 1.553814433 ,, 0.44 
period1,sc01,t2470, 1.557010309 ,, 0.92 
period1,sc01,t2471, 1.560206186 ,, 0.41 
period1,sc01,t2472, 1.563402062 ,, 0.66 
period1,sc01,t2473, 1.566597938 ,, 0.28 
period1,sc01,t2474, 1.569793814 ,, 0.36 
period1,sc01,t2475, 1.572989691 ,, 0.68 
period1,sc01,t2476, 1.576185567 ,, 0.35 
period1,sc01,t2477, 1.579381443 ,, 0.28 
period1,sc01,t2478, 1.58257732 ,, 0.65 
period1,sc01,t2479, 1.585773196 ,, 0.72 
period1,sc01,t2480, 1.588969072 ,, 0.34 
period1,sc01,t2481, 1.592164948 ,, 0.29 
period1,sc01,t2482, 1.595360825 ,, 0.43 
period1,sc01,t2483, 1.598556701 ,, 0.45 
period1,sc01,t2484, 1.601752577 ,, 0.44 
period1,sc01,t2485, 1.604948454 ,, 0.44 
period1,sc01,t2486, 1.60814433 ,, 0.74 
period1,sc01,t2487, 1.611340206 ,, 0.34 
period1,sc01,t2488, 1.614536082 ,, 1.65 
period1,sc01,t2489, 1.617731959 ,, 1.79 
period1,sc01,t2490, 1.620927835 ,, 1.98 
period1,sc01,t2491, 1.624123711 ,, 1.34 
period1,sc01,t2492, 1.627319588 ,, 0.87 
period1,sc01,t2493, 1.630515464 ,, 0.88 
period1,sc01,t2494, 1.63371134 ,, 0.42 
period1,sc01,t2495, 1.636907216 ,, 0.34 
period1,sc01,t2496, 1.640103093 ,, 0.65 
period1,sc01,t2497, 1.643298969 ,, 0.31 
period1,sc01,t2498, 1.646494845 ,, 0.25 
period1,sc01,t2499, 1.649690722 ,, 0.57 
period1,sc01,t2500, 1.652886598 ,, 0.3 
period1,sc01,t2501, 1.656082474 ,, 0.34 
period1,sc01,t2502, 1.659278351 ,, 0.71 
period1,sc01,t2503, 1.662474227 ,, 0.35 
period1,sc01,t2504, 1.665670103 ,, 0.79 
period1,sc01,t2505, 1.668865979 ,, 0.24 
period1,sc01,t2506, 1.672061856 ,, 0.26 
period1,sc01,t2507, 1.675257732 ,, 0.34 
period1,sc01,t2508, 1.678453608 ,, 0.65 
period1,sc01,t2509, 1.681649485 ,, 0.31 
period1,sc01,t2510, 1.684845361 ,, 0.23 
period1,sc01,t2511, 1.688041237 ,, 0.57 
period1,sc01,t2512, 1.691237113 ,, 0.35 
period1,sc01,t2513, 1.69443299 ,, 0.4 
period1,sc01,t2514, 1.697628866 ,, 0.91 
period1,sc01,t2515, 1.700824742 ,, 0.59 
period1,sc01,t2516, 1.704020619 ,, 0.5 
period1,sc01,t2517, 1.707216495 ,, 0.97 
period1,sc01,t2518, 1.710412371 ,, 0.4 
period1,sc01,t2519, 1.713608247 ,, 0.71 
period1,sc01,t2520, 1.716804124 ,, 0.29 
period1,sc01,t2521, 1.72 ,, 0.28 
period1,sc01,t2522, 2.99 ,, 0.65 
period1,sc01,t2523, 3.34 ,, 0.38 
period1,sc01,t2524, 2.01 ,, 0.35 
period1,sc01,t2525, 1.7 ,, 0.81 
period1,sc01,t2526, 0.5 ,, 0.29 
period1,sc01,t2527, 2.69 ,, 0.35 
period1,sc01,t2528, 0.85 ,, 0.66 
period1,sc01,t2529, 0.21 ,, 0.27 
period1,sc01,t2530, 0.23 ,, 0.24 
period1,sc01,t2531, 0.75 ,, 0.53 
period1,sc01,t2532, 0.65 ,, 0.42 
period1,sc01,t2533, 0.8 ,, 0.35 
period1,sc01,t2534, 0.86 ,, 0.35 
period1,sc01,t2535, 0.69 ,, 0.83 
period1,sc01,t2536, 0.78 ,, 0.5 
period1,sc01,t2537, 0.87 ,, 0.78 
period1,sc01,t2538, 0.48 ,, 1.72 
period1,sc01,t2539, 1.36 ,, 1.4 
period1,sc01,t2540, 1.32 ,, 0.67 
period1,sc01,t2541, 1.23 ,, 0.73 
period1,sc01,t2542, 2.07 ,, 1.02 
period1,sc01,t2543, 0.65 ,, 0.69 
period1,sc01,t2544, 2.68 ,, 0.7 
period1,sc01,t2545, 3.11 ,, 1 
period1,sc01,t2546, 3.11 ,, 0.69 
period1,sc01,t2547, 0.51 ,, 0.67 
period1,sc01,t2548, 1.46 ,, 0.92 
period1,sc01,t2549, 1.43 ,, 0.59 
period1,sc01,t2550, 1.55 ,, 0.65 
period1,sc01,t2551, 3.22 ,, 1 
period1,sc01,t2552, 1.61 ,, 0.68 
period1,sc01,t2553, 0.93 ,, 0.73 
period1,sc01,t2554, 1 ,, 1 
period1,sc01,t2555, 1.15 ,, 0.72 
period1,sc01,t2556, 1.71 ,, 0.79 
period1,sc01,t2557, 1.87 ,, 1.15 
period1,sc01,t2558, 2.82 ,, 0.88 
period1,sc01,t2559, 1.04 ,, 2.3 
period1,sc01,t2560, 1.18 ,, 1.31 
period1,sc01,t2561, 2.93 ,, 0.88 
period1,sc01,t2562, 2.07 ,, 1.12 
period1,sc01,t2563, 2.99 ,, 0.67 
period1,sc01,t2564, 2.46 ,, 0.95 
period1,sc01,t2565, 1.23 ,, 0.76 
period1,sc01,t2566, 1.66 ,, 0.74 
period1,sc01,t2567, 1.15 ,, 1.06 
period1,sc01,t2568, 0.65 ,, 0.62 
period1,sc01,t2569, 0.59 ,, 0.61 
period1,sc01,t2570, 1.92 ,, 1.02 
period1,sc01,t2571, 0.82 ,, 0.7 
period1,sc01,t2572, 1.45 ,, 0.7 
period1,sc01,t2573, 1.15 ,, 0.9 
period1,sc01,t2574, 1.08 ,, 0.53 
period1,sc01,t2575, 1.02 ,, 0.62 
period1,sc01,t2576, 6 ,, 0.94 
period1,sc01,t2577, 9.06 ,, 0.6 
period1,sc01,t2578, 3.14 ,, 0.66 
period1,sc01,t2579, 1.21 ,, 1.16 
period1,sc01,t2580, 0.99 ,, 0.81 
period1,sc01,t2581, 1.2 ,, 0.84 
period1,sc01,t2582, 0.63 ,, 1.11 
period1,sc01,t2583, 4.14 ,, 1.65 
period1,sc01,t2584, 3.15 ,, 0.83 
period1,sc01,t2585, 2.07 ,, 1.33 
period1,sc01,t2586, 1.51 ,, 0.93 
period1,sc01,t2587, 1.62 ,, 0.99 
period1,sc01,t2588, 1.77 ,, 1.03 
period1,sc01,t2589, 1.84 ,, 0.39 
period1,sc01,t2590, 2.15 ,, 0.53 
period1,sc01,t2591, 1.66 ,, 0.5 
period1,sc01,t2592, 1.59 ,, 0.34 
period1,sc01,t2593, 1.49 ,, 0.28 
period1,sc01,t2594, 3.4 ,, 0.6 
period1,sc01,t2595, 1.93 ,, 0.27 
period1,sc01,t2596, 2.5 ,, 0.37 
period1,sc01,t2597, 1.46 ,, 0.68 
period1,sc01,t2598, 1.6 ,, 0.67 
period1,sc01,t2599, 2.01 ,, 0.38 
period1,sc01,t2600, 1.42 ,, 0.26 
period1,sc01,t2601, 0.53 ,, 0.48 
period1,sc01,t2602, 1.05 ,, 0.47 
period1,sc01,t2603, 0.84 ,, 0.33 
period1,sc01,t2604, 1.42 ,, 0.24 
period1,sc01,t2605, 0.91 ,, 0.57 
period1,sc01,t2606, 1.59 ,, 0.3 
period1,sc01,t2607, 1.46 ,, 0.33 
period1,sc01,t2608, 1.36 ,, 0.82 
period1,sc01,t2609, 2.15 ,, 0.72 
period1,sc01,t2610, 1.77 ,, 0.76 
period1,sc01,t2611, 2.6 ,, 1.02 
period1,sc01,t2612, 1.73 ,, 1.26 
period1,sc01,t2613, 1.7 ,, 0.52 
period1,sc01,t2614, 1.44 ,, 0.79 
period1,sc01,t2615, 2.12 ,, 0.35 
period1,sc01,t2616, 1.9 ,, 0.3 
period1,sc01,t2617, 1.5 ,, 0.6 
period1,sc01,t2618, 1.42 ,, 0.26 
period1,sc01,t2619, 1.34 ,, 0.33 
period1,sc01,t2620, 2.95 ,, 0.54 
period1,sc01,t2621, 3.63 ,, 0.53 
period1,sc01,t2622, 3.67 ,, 0.54 
period1,sc01,t2623, 2.48 ,, 0.54 
period1,sc01,t2624, 1.52 ,, 0.53 
period1,sc01,t2625, 1.37 ,, 0.54 
period1,sc01,t2626, 0.38 ,, 0.54 
period1,sc01,t2627, 1.29 ,, 0.53 
period1,sc01,t2628, 1.2 ,, 0.54 
period1,sc01,t2629, 0.59 ,, 0.54 
period1,sc01,t2630, 1.04 ,, 0.53 
period1,sc01,t2631, 2.54 ,, 0.54 
period1,sc01,t2632, 1.18 ,, 0.54 
period1,sc01,t2633, 0.33 ,, 0.53 
period1,sc01,t2634, 0.26 ,, 0.54 
period1,sc01,t2635, 1.04 ,, 0.54 
period1,sc01,t2636, 4.2 ,, 0.53 
period1,sc01,t2637, 2.12 ,, 0.54 
period1,sc01,t2638, 1.5 ,, 0.82 
period1,sc01,t2639, 2.61 ,, 0.47 
period1,sc01,t2640, 2.58 ,, 0.5 
period1,sc01,t2641, 1.93 ,, 0.62 
period1,sc01,t2642, 5.06 ,, 0.42 
period1,sc01,t2643, 2.78 ,, 0.84 
period1,sc01,t2644, 2.35 ,, 0.49 
period1,sc01,t2645, 2.9 ,, 0.44 
period1,sc01,t2646, 2.13 ,, 0.86 
period1,sc01,t2647, 3.36 ,, 0.41 
period1,sc01,t2648, 0.22 ,, 0.82 
period1,sc01,t2649, 0.29 ,, 0.48 
period1,sc01,t2650, 1 ,, 0.45 
period1,sc01,t2651, 1.05 ,, 0.76 
period1,sc01,t2652, 0.54 ,, 0.42 
period1,sc01,t2653, 0.73 ,, 0.55 
period1,sc01,t2654, 0.46 ,, 0.8 
period1,sc01,t2655, 0.27 ,, 0.49 
period1,sc01,t2656, 0.59 ,, 0.43 
period1,sc01,t2657, 0.99 ,, 0.88 
period1,sc01,t2658, 0.25 ,, 0.58 
period1,sc01,t2659, 1.96 ,, 0.58 
period1,sc01,t2660, 4.09 ,, 0.98 
period1,sc01,t2661, 3.4 ,, 1.12 
period1,sc01,t2662, 3.36 ,, 0.58 
period1,sc01,t2663, 3.08 ,, 0.44 
period1,sc01,t2664, 3.5 ,, 0.73 
period1,sc01,t2665, 3.17 ,, 0.46 
period1,sc01,t2666, 1.76 ,, 0.51 
period1,sc01,t2667, 1.09 ,, 0.81 
period1,sc01,t2668, 1.76 ,, 0.43 
period1,sc01,t2669, 1.45 ,, 0.43 
period1,sc01,t2670, 1.18 ,, 0.98 
period1,sc01,t2671, 1.26 ,, 0.54 
period1,sc01,t2672, 1.84 ,, 0.81 
period1,sc01,t2673, 1.56 ,, 0.4 
period1,sc01,t2674, 1.46 ,, 0.37 
period1,sc01,t2675, 0.34 ,, 0.69 
period1,sc01,t2676, 0.27 ,, 0.32 
period1,sc01,t2677, 1 ,, 0.26 
period1,sc01,t2678, 0.87 ,, 0.65 
period1,sc01,t2679, 0.44 ,, 0.48 
period1,sc01,t2680, 1.64 ,, 0.73 
period1,sc01,t2681, 1.44 ,, 1.02 
period1,sc01,t2682, 2.97 ,, 0.7 
period1,sc01,t2683, 1.91 ,, 1.06 
period1,sc01,t2684, 2.25 ,, 0.72 
period1,sc01,t2685, 1.75 ,, 0.74 
period1,sc01,t2686, 1.18 ,, 1.11 
period1,sc01,t2687, 1.47 ,, 0.73 
period1,sc01,t2688, 1.55 ,, 0.86 
period1,sc01,t2689, 1.21 ,, 1 
period1,sc01,t2690, 3.3 ,, 0.72 
period1,sc01,t2691, 1.83 ,, 0.78 
period1,sc01,t2692, 1.73 ,, 1.11 
period1,sc01,t2693, 1.78 ,, 0.81 
period1,sc01,t2694, 1.82 ,, 0.69 
period1,sc01,t2695, 4.28 ,, 1.05 
period1,sc01,t2696, 3.38 ,, 0.67 
period1,sc01,t2697, 2.15 ,, 0.84 
period1,sc01,t2698, 0.24 ,, 1.1 
period1,sc01,t2699, 1.41 ,, 1.49 
period1,sc01,t2700, 0.24 ,, 0.6 
period1,sc01,t2701, 0.21 ,, 0.66 
period1,sc01,t2702, 0.24 ,, 0.93 
period1,sc01,t2703, 1.38 ,, 1.31 
period1,sc01,t2704, 0.8 ,, 1.08 
period1,sc01,t2705, 0.33 ,, 1.46 
period1,sc01,t2706, 1.45 ,, 1.14 
period1,sc01,t2707, 3.08 ,, 1.23 
period1,sc01,t2708, 1.48 ,, 1.6 
period1,sc01,t2709, 2.54 ,, 1.42 
period1,sc01,t2710, 1.9 ,, 1.33 
period1,sc01,t2711, 2.83 ,, 0.81 
period1,sc01,t2712, 1.28 ,, 1.1 
period1,sc01,t2713, 2.16 ,, 0.77 
period1,sc01,t2714, 2.83 ,, 0.77 
period1,sc01,t2715, 1.63 ,, 1.13 
period1,sc01,t2716, 2.68 ,, 1.2 
period1,sc01,t2717, 1.76 ,, 1.21 
period1,sc01,t2718, 1.9 ,, 1.2 
period1,sc01,t2719, 2.91 ,, 1.21 
period1,sc01,t2720, 2.2 ,, 1.2 
period1,sc01,t2721, 3 ,, 1.21 
period1,sc01,t2722, 2.12 ,, 1.2 
period1,sc01,t2723, 1.11 ,, 1.2 
period1,sc01,t2724, 0.74 ,, 1.21 
period1,sc01,t2725, 0.96 ,, 1.2 
period1,sc01,t2726, 0.44 ,, 1.21 
period1,sc01,t2727, 1.23 ,, 1.2 
period1,sc01,t2728, 3.25 ,, 1.21 
period1,sc01,t2729, 6.43 ,, 1.2 
period1,sc01,t2730, 4.56 ,, 1.2 
period1,sc01,t2731, 3.46 ,, 1.21 
period1,sc01,t2732, 4.46 ,, 1.2 
period1,sc01,t2733, 4.06 ,, 1.21 
period1,sc01,t2734, 3.27 ,, 1.2 
period1,sc01,t2735, 1.47 ,, 1.21 
period1,sc01,t2736, 1.49 ,, 1.2 
period1,sc01,t2737, 2.64 ,, 0.94 
period1,sc01,t2738, 3 ,, 0.67 
period1,sc01,t2739, 1.89 ,, 0.71 
period1,sc01,t2740, 2.89 ,, 0.61 
period1,sc01,t2741, 0.89 ,, 0.88 
period1,sc01,t2742, 1.9 ,, 0.57 
period1,sc01,t2743, 2.51 ,, 0.67 
period1,sc01,t2744, 0.94 ,, 1.25 
period1,sc01,t2745, 1.44 ,, 0.99 
period1,sc01,t2746, 1.3 ,, 0.92 
period1,sc01,t2747, 2.81 ,, 1.57 
period1,sc01,t2748, 2.43 ,, 1.39 
period1,sc01,t2749, 2.07 ,, 0.69 
period1,sc01,t2750, 0.66 ,, 1.09 
period1,sc01,t2751, 2.3 ,, 2.68 
period1,sc01,t2752, 11.21 ,, 1.69 
period1,sc01,t2753, 3.62 ,, 1.57 
period1,sc01,t2754, 0.38 ,, 2.95 
period1,sc01,t2755, 3.04 ,, 2.04 
period1,sc01,t2756, 3.17 ,, 1.01 
period1,sc01,t2757, 2.12 ,, 0.79 
period1,sc01,t2758, 1.95 ,, 1.06 
period1,sc01,t2759, 2.44 ,, 0.75 
period1,sc01,t2760, 1.97 ,, 0.63 
period1,sc01,t2761, 2.51 ,, 1.01 
period1,sc01,t2762, 3.82 ,, 0.63 
period1,sc01,t2763, 1.76 ,, 0.55 
period1,sc01,t2764, 3.17 ,, 0.89 
period1,sc01,t2765, 1.77 ,, 0.58 
period1,sc01,t2766, 2.73 ,, 1.08 
period1,sc01,t2767, 1.9 ,, 0.65 
period1,sc01,t2768, 0.97 ,, 0.55 
period1,sc01,t2769, 1.72 ,, 0.94 
period1,sc01,t2770, 2.57 ,, 0.77 
period1,sc01,t2771, 0.69 ,, 0.9 
period1,sc01,t2772, 1.34 ,, 1.14 
period1,sc01,t2773, 1.14 ,, 0.81 
period1,sc01,t2774, 1.36 ,, 0.92 
period1,sc01,t2775, 0.4 ,, 0 
period1,sc01,t2776, 0.37 ,, 2.3 
period1,sc01,t2777, 2.96 ,, 1.4 
period1,sc01,t2778, 4.16 ,, 0.9 
period1,sc01,t2779, 4.06 ,, 0.91 
period1,sc01,t2780, 2.55 ,, 1.33 
period1,sc01,t2781, 3.5 ,, 0.7 
period1,sc01,t2782, 1.84 ,, 0.59 
period1,sc01,t2783, 2.23 ,, 0.98 
period1,sc01,t2784, 2.31 ,, 0.6 
period1,sc01,t2785, 1.68 ,, 0.55 
period1,sc01,t2786, 1.68 ,, 0.9 
period1,sc01,t2787, 2.08 ,, 0.61 
period1,sc01,t2788, 2.71 ,, 0.56 
period1,sc01,t2789, 1.84 ,, 0.86 
period1,sc01,t2790, 1.73 ,, 1.59 
period1,sc01,t2791, 4.59 ,, 0.56 
period1,sc01,t2792, 3.12 ,, 1.07 
period1,sc01,t2793, 3.38 ,, 1.02 
period1,sc01,t2794, 3.19 ,, 0.48 
period1,sc01,t2795, 0.69 ,, 0.48 
period1,sc01,t2796, 0.36 ,, 0.77 
period1,sc01,t2797, 0.26 ,, 0.54 
period1,sc01,t2798, 0.43 ,, 0.68 
period1,sc01,t2799, 1.75 ,, 0.64 
period1,sc01,t2800, 1.08 ,, 0.96 
period1,sc01,t2801, 1.29 ,, 1.73 
period1,sc01,t2802, 0.92 ,, 1.8 
period1,sc01,t2803, 1.76 ,, 1.22 
period1,sc01,t2804, 1.76 ,, 0.57 
period1,sc01,t2805, 2.23 ,, 0.49 
period1,sc01,t2806, 1.52 ,, 0.82 
period1,sc01,t2807, 2.8 ,, 0.56 
period1,sc01,t2808, 1.65 ,, 0.44 
period1,sc01,t2809, 1.59 ,, 0.71 
period1,sc01,t2810, 3.72 ,, 0.38 
period1,sc01,t2811, 2.7 ,, 0.36 
period1,sc01,t2812, 1.73 ,, 0.67 
period1,sc01,t2813, 1.8 ,, 0.27 
period1,sc01,t2814, 2.78 ,, 0.73 
period1,sc01,t2815, 3.33 ,, 0.73 
period1,sc01,t2816, 1.33 ,, 0.73 
period1,sc01,t2817, 1.27 ,, 0.74 
period1,sc01,t2818, 0.81 ,, 0.73 
period1,sc01,t2819, 0.29 ,, 0.73 
period1,sc01,t2820, 1.5 ,, 0.73 
period1,sc01,t2821, 0.26 ,, 0.73 
period1,sc01,t2822, 0.72 ,, 0.73 
period1,sc01,t2823, 1.07 ,, 0.73 
period1,sc01,t2824, 1.4 ,, 0.74 
period1,sc01,t2825, 0.23 ,, 0.73 
period1,sc01,t2826, 0.24 ,, 0.73 
period1,sc01,t2827, 3.3 ,, 0.73 
period1,sc01,t2828, 2.61 ,, 0.73 
period1,sc01,t2829, 1.91 ,, 0.73 
period1,sc01,t2830, 1.59 ,, 0.73 
period1,sc01,t2831, 1.63 ,, 0.74 
period1,sc01,t2832, 3.05 ,, 0.73 
period1,sc01,t2833, 3.01 ,, 0.73 
period1,sc01,t2834, 3.21 ,, 0.73 
period1,sc01,t2835, 4.01 ,, 0.73 
period1,sc01,t2836, 3.84 ,, 0.73 
period1,sc01,t2837, 3.21 ,, 0.73 
period1,sc01,t2838, 1.14 ,, 0.73 
period1,sc01,t2839, 0.24 ,, 0.74 
period1,sc01,t2840, 0.87 ,, 0.73 
period1,sc01,t2841, 2.11 ,, 0.73 
period1,sc01,t2842, 1.49 ,, 0.73 
period1,sc01,t2843, 1.36 ,, 0.73 
period1,sc01,t2844, 0.53 ,, 0.73 
period1,sc01,t2845, 0.5 ,, 0.73 
period1,sc01,t2846, 1.14 ,, 0.74 
period1,sc01,t2847, 2.61 ,, 0.73 
period1,sc01,t2848, 1.73 ,, 0.73 
period1,sc01,t2849, 0.99 ,, 0.73 
period1,sc01,t2850, 2.54 ,, 0.73 
period1,sc01,t2851, 3.47 ,, 0.73 
period1,sc01,t2852, 3.17 ,, 0.73 
period1,sc01,t2853, 1.74 ,, 0.74 
period1,sc01,t2854, 2.2 ,, 0.73 
period1,sc01,t2855, 1.75 ,, 0.73 
period1,sc01,t2856, 1.89 ,, 0.73 
period1,sc01,t2857, 1.7 ,, 0.69 
period1,sc01,t2858, 4.12 ,, 0.43 
period1,sc01,t2859, 3.98 ,, 0.32 
period1,sc01,t2860, 3.46 ,, 0.6 
period1,sc01,t2861, 3.54 ,, 0.39 
period1,sc01,t2862, 3.27 ,, 0.54 
period1,sc01,t2863, 1.17 ,, 0.58 
