,,,Solar_01,BESS_01,EV_01,AEL_01,PEMEL_01,EV_02,EV_03,EV_04,EV_05,EV_06,EV_07,EV_08,EV_09,EV_10,EV_11,EV_12,EV_13,EV_14,EV_15,EV_16,EV_17,EV_18,EV_19,EV_20
period1,sc01,t0001,,, 0 ,,, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
period1,sc01,t0002,,, 0 ,,, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
period1,sc01,t0003,,, 0 ,,, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
period1,sc01,t0004,,, 0 ,,, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
period1,sc01,t0005,,, 0 ,,, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
period1,sc01,t0006,,, 0 ,,, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
period1,sc01,t0007,,, 0 ,,, 0 , 0 , 0 , 0 , 0 , 0 , 0.471395028943433 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1.78739793071785 , 0.942140791053943 , 0.67043718794997 
period1,sc01,t0008,,, 0 ,,, 0 , 1.73640135896457 , 0.961459763648985 , 0.55334709120615 , 0 , 0.6866951805809 , 0.471395028943433 , 0.454789032101542 , 0 , 0.405540879338588 , 0.233346860686584 , 0 , 0 , 0 , 0 , 0 , 1.78739793071785 , 0.942140791053943 , 0.67043718794997 
period1,sc01,t0009,,, 0 ,,, 0 , 1.73640135896457 , 0.961459763648985 , 0.55334709120615 , 2.13384511673436 , 0.6866951805809 , 0.471395028943433 , 0.454789032101542 , 0 , 0.405540879338588 , 0.233346860686584 , 1.07403307892601 , 2.00037371675391 , 0 , 1.69529491780189 , 1.24539522042487 , 1.78739793071785 , 0.942140791053943 , 0.67043718794997 
period1,sc01,t0010,,, 3.873400658 ,,, 3.87340065780865 , 1.73640135896457 , 0.961459763648985 , 0.55334709120615 , 2.13384511673436 , 0.6866951805809 , 0.471395028943433 , 0.454789032101542 , 1.56989936746035 , 0.405540879338588 , 0.233346860686584 , 1.07403307892601 , 2.00037371675391 , 0.605967715964503 , 1.69529491780189 , 1.24539522042487 , 1.78739793071785 , 0.942140791053943 , 0.67043718794997 
period1,sc01,t0011,,, 3.873400658 ,,, 3.87340065780865 , 1.73640135896457 , 0.961459763648985 , 0.55334709120615 , 2.13384511673436 , 0.6866951805809 , 0.471395028943433 , 0.454789032101542 , 1.56989936746035 , 0.405540879338588 , 0.233346860686584 , 1.07403307892601 , 2.00037371675391 , 0.605967715964503 , 1.69529491780189 , 1.24539522042487 , 1.78739793071785 , 0.942140791053943 , 0.67043718794997 
period1,sc01,t0012,,, 3.873400658 ,,, 3.87340065780865 , 1.73640135896457 , 0.961459763648985 , 0.55334709120615 , 2.13384511673436 , 0.6866951805809 , 0.471395028943433 , 0.454789032101542 , 1.56989936746035 , 0.405540879338588 , 0.233346860686584 , 1.07403307892601 , 2.00037371675391 , 0.605967715964503 , 1.69529491780189 , 1.24539522042487 , 1.78739793071785 , 0.942140791053943 , 0.67043718794997 
period1,sc01,t0013,,, 3.873400658 ,,, 3.87340065780865 , 1.73640135896457 , 0.961459763648985 , 0.55334709120615 , 2.13384511673436 , 0.6866951805809 , 0.471395028943433 , 0.454789032101542 , 1.56989936746035 , 0.405540879338588 , 0.233346860686584 , 1.07403307892601 , 2.00037371675391 , 0.605967715964503 , 1.69529491780189 , 1.24539522042487 , 1.78739793071785 , 0.942140791053943 , 0.67043718794997 
period1,sc01,t0014,,, 3.873400658 ,,, 3.87340065780865 , 1.73640135896457 , 0.961459763648985 , 0.55334709120615 , 2.13384511673436 , 0.6866951805809 , 0.471395028943433 , 0.454789032101542 , 1.56989936746035 , 0.405540879338588 , 0.233346860686584 , 1.07403307892601 , 2.00037371675391 , 0.605967715964503 , 1.69529491780189 , 1.24539522042487 , 1.78739793071785 , 0.942140791053943 , 0.67043718794997 
period1,sc01,t0015,,, 3.873400658 ,,, 3.87340065780865 , 1.73640135896457 , 0.961459763648985 , 0.55334709120615 , 2.13384511673436 , 0.6866951805809 , 0.471395028943433 , 0.454789032101542 , 1.56989936746035 , 0.405540879338588 , 0.233346860686584 , 1.07403307892601 , 2.00037371675391 , 0.605967715964503 , 1.69529491780189 , 1.24539522042487 , 1.78739793071785 , 0.942140791053943 , 0.67043718794997 
period1,sc01,t0016,,, 3.873400658 ,,, 3.87340065780865 , 0 , 0.961459763648985 , 0.55334709120615 , 2.13384511673436 , 0.6866951805809 , 0 , 0.454789032101542 , 1.56989936746035 , 0 , 0 , 1.07403307892601 , 2.00037371675391 , 0.605967715964503 , 1.69529491780189 , 1.24539522042487 , 1.78739793071785 , 0.942140791053943 , 0.67043718794997 
period1,sc01,t0017,,, 0 ,,, 0 , 0 , 0 , 0.55334709120615 , 0 , 0.6866951805809 , 0 , 0.454789032101542 , 1.56989936746035 , 0 , 0 , 1.07403307892601 , 2.00037371675391 , 0.605967715964503 , 0 , 0 , 0 , 0.942140791053943 , 0 
