Period,Scenario,LoadLevel,Sell,Date
period1,sc01,t3181,8.376480499,2025-05-13 13:27:00
period1,sc01,t3106,8.354511961,2025-05-10 10:27:00
period1,sc01,t3058,8.352098654,2025-05-08 10:27:00
period1,sc01,t2698,8.33167062,2025-04-23 10:27:00
period1,sc01,t1909,8.323913146999999,2025-03-21 13:27:00
period1,sc01,t3948,8.313456779000001,2025-06-14 12:27:00
period1,sc01,t3202,8.305500663,2025-05-14 10:27:00
period1,sc01,t3662,8.301795562,2025-06-02 14:27:00
period1,sc01,t2939,8.29050884,2025-05-03 11:27:00
period1,sc01,t4886,8.277277191,2025-07-23 14:27:00
period1,sc01,t5482,8.269279683,2025-08-17 10:27:00
period1,sc01,t6372,8.246968099,2025-09-23 12:27:00
period1,sc01,t3109,8.227659534,2025-05-10 13:27:00
period1,sc01,t6708,8.227077437,2025-10-07 12:27:00
period1,sc01,t6011,8.208896591,2025-09-08 11:27:00
period1,sc01,t2987,8.206353686,2025-05-05 11:27:00
period1,sc01,t3758,8.176073602,2025-06-06 14:27:00
period1,sc01,t3634,8.172114158000001,2025-06-01 10:27:00
period1,sc01,t2484,8.1524046127,2025-04-14 12:27:00
period1,sc01,t3206,8.143528017,2025-05-14 14:27:00
period1,sc01,t3227,8.138433855999999,2025-05-15 11:27:00
period1,sc01,t5508,8.134240693999999,2025-08-18 12:27:00
period1,sc01,t2986,8.127562614,2025-05-05 10:27:00
period1,sc01,t3130,8.124592744000001,2025-05-11 10:27:00
period1,sc01,t5386,8.122786237,2025-08-13 10:27:00
period1,sc01,t2124,8.089287817999999,2025-03-30 12:27:00
period1,sc01,t6299,8.082310289,2025-09-20 11:27:00
period1,sc01,t2678,8.074167602,2025-04-22 14:27:00
period1,sc01,t4957,8.063208915,2025-07-26 13:27:00
period1,sc01,t6277,8.060875931,2025-09-19 13:27:00
period1,sc01,t6155,8.054588065,2025-09-14 11:27:00
period1,sc01,t3755,8.037740844,2025-06-06 11:27:00
period1,sc01,t3731,8.020051671,2025-06-05 11:27:00
period1,sc01,t3730,8.010698909,2025-06-05 10:27:00
period1,sc01,t4334,8.003533187,2025-06-30 14:27:00
period1,sc01,t5219,8.000697553,2025-08-06 11:27:00
period1,sc01,t3039,7.997197653,2025-05-07 15:27:00
period1,sc01,t5171,7.986739829000001,2025-08-04 11:27:00
period1,sc01,t2460,7.973574483,2025-04-13 12:27:00
period1,sc01,t3874,7.946214444999999,2025-06-11 10:27:00
period1,sc01,t2702,7.945810396,2025-04-23 14:27:00
period1,sc01,t5532,7.944819025999999,2025-08-19 12:27:00
period1,sc01,t4043,7.94059796,2025-06-18 11:27:00
period1,sc01,t6010,7.930174126000001,2025-09-08 10:27:00
period1,sc01,t3947,7.922020002,2025-06-14 11:27:00
period1,sc01,t6709,7.910929588999999,2025-10-07 13:27:00
period1,sc01,t6732,7.897072549999999,2025-10-08 12:27:00
period1,sc01,t3830,7.894378278,2025-06-09 14:27:00
period1,sc01,t5051,7.89374552,2025-07-30 11:27:00
period1,sc01,t5195,7.887718691,2025-08-05 11:27:00
period1,sc01,t5749,7.88354403,2025-08-28 13:27:00
period1,sc01,t5678,7.868952314,2025-08-25 14:27:00
period1,sc01,t5147,7.861760967,2025-08-03 11:27:00
period1,sc01,t3541,7.8587831480000006,2025-05-28 13:27:00
period1,sc01,t5389,7.850140082999999,2025-08-13 13:27:00
period1,sc01,t5986,7.849983777,2025-09-07 10:27:00
period1,sc01,t3659,7.84218382,2025-06-02 11:27:00
period1,sc01,t4858,7.840969268,2025-07-22 10:27:00
period1,sc01,t1933,7.837057440000001,2025-03-22 13:27:00
period1,sc01,t4859,7.836339790999999,2025-07-22 11:27:00
period1,sc01,t6756,7.821606697,2025-10-09 12:27:00
period1,sc01,t2938,7.813840868,2025-05-03 10:27:00
period1,sc01,t5940,7.801684911000001,2025-09-05 12:27:00
period1,sc01,t2722,7.798991754999999,2025-04-24 10:27:00
period1,sc01,t3732,7.79355499,2025-06-05 12:27:00
period1,sc01,t4786,7.786542968999999,2025-07-19 10:27:00
period1,sc01,t3082,7.765968669,2025-05-09 10:27:00
period1,sc01,t3993,7.76368532,2025-06-16 09:27:00
period1,sc01,t4527,7.762555384,2025-07-08 15:27:00
period1,sc01,t5963,7.752345161999999,2025-09-06 11:27:00
period1,sc01,t3685,7.751513143,2025-06-03 13:27:00
period1,sc01,t3469,7.750951077,2025-05-25 13:27:00
period1,sc01,t2076,7.749566271,2025-03-28 12:27:00
period1,sc01,t2699,7.745016779999999,2025-04-23 11:27:00
period1,sc01,t5363,7.740570722999999,2025-08-12 11:27:00
period1,sc01,t3084,7.738713632000001,2025-05-09 12:27:00
period1,sc01,t3015,7.705711727,2025-05-06 15:27:00
period1,sc01,t2701,7.69328934,2025-04-23 13:27:00
period1,sc01,t5339,7.6925918620000004,2025-08-11 11:27:00
period1,sc01,t4262,7.690740655,2025-06-27 14:27:00
period1,sc01,t5315,7.685613,2025-08-10 11:27:00
period1,sc01,t5844,7.682721239999999,2025-09-01 12:27:00
period1,sc01,t2749,7.670949632999999,2025-04-25 13:27:00
period1,sc01,t4550,7.669975569,2025-07-09 14:27:00
period1,sc01,t3801,7.660712218,2025-06-08 09:27:00
period1,sc01,t3660,7.651407331,2025-06-02 12:27:00
period1,sc01,t3226,7.648841031,2025-05-15 10:27:00
period1,sc01,t3321,7.646519156999999,2025-05-19 09:27:00
period1,sc01,t4067,7.646010370000001,2025-06-19 11:27:00
period1,sc01,t3108,7.641994226,2025-05-10 12:27:00
period1,sc01,t3658,7.639642112000001,2025-06-02 10:27:00
period1,sc01,t4139,7.628981109,2025-06-22 11:27:00
period1,sc01,t6227,7.619679953,2025-09-17 11:27:00
period1,sc01,t3807,7.6167584029999995,2025-06-08 15:27:00
period1,sc01,t2221,7.59388152,2025-04-03 13:27:00
period1,sc01,t2123,7.58977854,2025-03-30 11:27:00
period1,sc01,t5511,7.584940239,2025-08-18 15:27:00
period1,sc01,t1883,7.581120637,2025-03-20 11:27:00
period1,sc01,t5223,7.577821546,2025-08-06 15:27:00
period1,sc01,t2746,7.568743768999999,2025-04-25 10:27:00
period1,sc01,t5990,7.556287450999999,2025-09-07 14:27:00
