Period,Scenario,LoadLevel,Date,MWh,KWh,Type
period1,sc01,t4162,2025-06-23 10:27:00,1.9713822870000002,1.9713822870000002,NetDemand
period1,sc01,t4163,2025-06-23 11:27:00,1.7246705390000001,1.7246705390000001,NetDemand
period1,sc01,t4164,2025-06-23 12:27:00,1.5249632590000002,1.5249632590000002,NetDemand
period1,sc01,t4165,2025-06-23 13:27:00,5.679134823,5.679134823,NetDemand
period1,sc01,t4166,2025-06-23 14:27:00,6.994236675,6.994236675,NetDemand
period1,sc01,t4167,2025-06-23 15:27:00,7.140108895,7.140108895,NetDemand
period1,sc01,t4168,2025-06-23 16:27:00,4.691428097999999,4.691428097999999,NetDemand
period1,sc01,t4169,2025-06-23 17:27:00,3.7179319740000003,3.7179319740000003,NetDemand
period1,sc01,t4170,2025-06-23 18:27:00,2.063640317,2.063640317,NetDemand
period1,sc01,t4171,2025-06-23 19:27:00,0.265269576,0.265269576,NetDemand
period1,sc01,t4172,2025-06-23 20:27:00,0.08498060399999999,0.08498060399999999,NetDemand
period1,sc01,t4173,2025-06-23 21:27:00,-0.059382764000000005,-0.059382764000000005,NetDemand
period1,sc01,t4174,2025-06-23 22:27:00,-0.697497388,-0.697497388,NetDemand
period1,sc01,t4175,2025-06-23 23:27:00,-0.243,-0.243,NetDemand
period1,sc01,t4176,2025-06-24 00:27:00,-0.247,-0.247,NetDemand
period1,sc01,t4177,2025-06-24 01:27:00,-0.133,-0.133,NetDemand
period1,sc01,t4178,2025-06-24 02:27:00,-0.597,-0.597,NetDemand
period1,sc01,t4179,2025-06-24 03:27:00,-0.13269334900000002,-0.13269334900000002,NetDemand
period1,sc01,t4180,2025-06-24 04:27:00,-0.22268226100000002,-0.22268226100000002,NetDemand
period1,sc01,t4181,2025-06-24 05:27:00,0.051473804999999984,0.051473804999999984,NetDemand
period1,sc01,t4182,2025-06-24 06:27:00,0.6766139550000001,0.6766139550000001,NetDemand
period1,sc01,t4183,2025-06-24 07:27:00,3.290259077,3.290259077,NetDemand
period1,sc01,t4184,2025-06-24 08:27:00,5.502765954,5.502765954,NetDemand
period1,sc01,t4185,2025-06-24 09:27:00,4.356202157999999,4.356202157999999,NetDemand
period1,sc01,t4186,2025-06-24 10:27:00,8.793282086000001,8.793282086000001,NetDemand
period1,sc01,t4187,2025-06-24 11:27:00,6.627526804,6.627526804,NetDemand
period1,sc01,t4188,2025-06-24 12:27:00,4.825241704,4.825241704,NetDemand
period1,sc01,t4189,2025-06-24 13:27:00,4.627312608,4.627312608,NetDemand
period1,sc01,t4190,2025-06-24 14:27:00,1.4841138100000002,1.4841138100000002,NetDemand
period1,sc01,t4191,2025-06-24 15:27:00,0.526773309,0.526773309,NetDemand
period1,sc01,t4192,2025-06-24 16:27:00,-0.34850891900000014,-0.34850891900000014,NetDemand
period1,sc01,t4193,2025-06-24 17:27:00,0.07692177399999989,0.07692177399999989,NetDemand
period1,sc01,t4194,2025-06-24 18:27:00,0.3545494260000004,0.3545494260000004,NetDemand
period1,sc01,t4195,2025-06-24 19:27:00,-0.030389654999999904,-0.030389654999999904,NetDemand
period1,sc01,t4196,2025-06-24 20:27:00,0.0,0.0,NetDemand
period1,sc01,t4197,2025-06-24 21:27:00,-0.33942252,-0.33942252,NetDemand
period1,sc01,t4198,2025-06-24 22:27:00,-3.0820000000000003,-3.0820000000000003,NetDemand
period1,sc01,t4199,2025-06-24 23:27:00,-1.3359999999999999,-1.3359999999999999,NetDemand
period1,sc01,t4200,2025-06-25 00:27:00,-0.23399999999999999,-0.23399999999999999,NetDemand
period1,sc01,t4201,2025-06-25 01:27:00,-0.172,-0.172,NetDemand
period1,sc01,t4202,2025-06-25 02:27:00,-0.20800000000000002,-0.20800000000000002,NetDemand
period1,sc01,t4203,2025-06-25 03:27:00,-0.378,-0.378,NetDemand
period1,sc01,t4204,2025-06-25 04:27:00,-1.7264615290000003,-1.7264615290000003,NetDemand
period1,sc01,t4205,2025-06-25 05:27:00,0.0,0.0,NetDemand
period1,sc01,t4206,2025-06-25 06:27:00,0.726819669,0.726819669,NetDemand
period1,sc01,t4207,2025-06-25 07:27:00,0.6727249300000002,0.6727249300000002,NetDemand
period1,sc01,t4208,2025-06-25 08:27:00,3.488304163,3.488304163,NetDemand
period1,sc01,t4209,2025-06-25 09:27:00,4.64233387,4.64233387,NetDemand
period1,sc01,t4210,2025-06-25 10:27:00,6.480053165999999,6.480053165999999,NetDemand
period1,sc01,t4211,2025-06-25 11:27:00,5.786562146,5.786562146,NetDemand
period1,sc01,t4212,2025-06-25 12:27:00,6.720273152,6.720273152,NetDemand
period1,sc01,t4213,2025-06-25 13:27:00,3.612042244,3.612042244,NetDemand
period1,sc01,t4214,2025-06-25 14:27:00,3.208411747,3.208411747,NetDemand
period1,sc01,t4215,2025-06-25 15:27:00,1.8907798859999998,1.8907798859999998,NetDemand
period1,sc01,t4216,2025-06-25 16:27:00,0.35103025900000007,0.35103025900000007,NetDemand
period1,sc01,t4217,2025-06-25 17:27:00,-0.44041688300000015,-0.44041688300000015,NetDemand
period1,sc01,t4218,2025-06-25 18:27:00,0.0,0.0,NetDemand
period1,sc01,t4219,2025-06-25 19:27:00,-0.5127734289999999,-0.5127734289999999,NetDemand
period1,sc01,t4220,2025-06-25 20:27:00,-0.43932111399999996,-0.43932111399999996,NetDemand
period1,sc01,t4221,2025-06-25 21:27:00,-0.964492854,-0.964492854,NetDemand
period1,sc01,t4222,2025-06-25 22:27:00,-1.005,-1.005,NetDemand
period1,sc01,t4223,2025-06-25 23:27:00,-0.15899999999999997,-0.15899999999999997,NetDemand
period1,sc01,t4224,2025-06-26 00:27:00,-0.22100000000000003,-0.22100000000000003,NetDemand
period1,sc01,t4225,2025-06-26 01:27:00,-0.147,-0.147,NetDemand
period1,sc01,t4226,2025-06-26 02:27:00,-0.273,-0.273,NetDemand
period1,sc01,t4227,2025-06-26 03:27:00,-0.44999999999999996,-0.44999999999999996,NetDemand
period1,sc01,t4228,2025-06-26 04:27:00,-0.244853036,-0.244853036,NetDemand
period1,sc01,t4229,2025-06-26 05:27:00,0.076111419,0.076111419,NetDemand
period1,sc01,t4230,2025-06-26 06:27:00,0.18387438,0.18387438,NetDemand
period1,sc01,t4231,2025-06-26 07:27:00,0.11354336799999998,0.11354336799999998,NetDemand
period1,sc01,t4232,2025-06-26 08:27:00,0.9429010360000003,0.9429010360000003,NetDemand
period1,sc01,t4233,2025-06-26 09:27:00,2.1899528239999997,2.1899528239999997,NetDemand
period1,sc01,t4234,2025-06-26 10:27:00,4.665182382,4.665182382,NetDemand
period1,sc01,t4235,2025-06-26 11:27:00,0.0,0.0,NetDemand
period1,sc01,t4236,2025-06-26 12:27:00,-0.7211081810000008,-0.7211081810000008,NetDemand
period1,sc01,t4237,2025-06-26 13:27:00,6.650813356,6.650813356,NetDemand
period1,sc01,t4238,2025-06-26 14:27:00,3.121455966,3.121455966,NetDemand
period1,sc01,t4239,2025-06-26 15:27:00,3.3602917790000006,3.3602917790000006,NetDemand
period1,sc01,t4240,2025-06-26 16:27:00,3.9126735310000003,3.9126735310000003,NetDemand
period1,sc01,t4241,2025-06-26 17:27:00,3.971738003,3.971738003,NetDemand
period1,sc01,t4242,2025-06-26 18:27:00,1.615950658,1.615950658,NetDemand
period1,sc01,t4243,2025-06-26 19:27:00,-0.582314664,-0.582314664,NetDemand
period1,sc01,t4244,2025-06-26 20:27:00,-0.10755910500000004,-0.10755910500000004,NetDemand
period1,sc01,t4245,2025-06-26 21:27:00,-0.12440903399999999,-0.12440903399999999,NetDemand
period1,sc01,t4246,2025-06-26 22:27:00,-0.37349774,-0.37349774,NetDemand
period1,sc01,t4247,2025-06-26 23:27:00,-0.18099999999999994,-0.18099999999999994,NetDemand
period1,sc01,t4248,2025-06-27 00:27:00,-0.29900000000000004,-0.29900000000000004,NetDemand
period1,sc01,t4249,2025-06-27 01:27:00,-0.20299999999999999,-0.20299999999999999,NetDemand
period1,sc01,t4250,2025-06-27 02:27:00,-0.487,-0.487,NetDemand
period1,sc01,t4251,2025-06-27 03:27:00,-0.132792043,-0.132792043,NetDemand
period1,sc01,t4252,2025-06-27 04:27:00,-0.349918439,-0.349918439,NetDemand
period1,sc01,t4253,2025-06-27 05:27:00,0.22031564799999998,0.22031564799999998,NetDemand
period1,sc01,t4254,2025-06-27 06:27:00,0.532027485,0.532027485,NetDemand
period1,sc01,t4255,2025-06-27 07:27:00,1.243090315,1.243090315,NetDemand
period1,sc01,t4256,2025-06-27 08:27:00,2.694589484,2.694589484,NetDemand
period1,sc01,t4257,2025-06-27 09:27:00,5.602350695,5.602350695,NetDemand
period1,sc01,t4258,2025-06-27 10:27:00,6.552810456,6.552810456,NetDemand
period1,sc01,t4259,2025-06-27 11:27:00,7.45291313,7.45291313,NetDemand
period1,sc01,t4260,2025-06-27 12:27:00,8.859198123999999,8.859198123999999,NetDemand
period1,sc01,t4261,2025-06-27 13:27:00,8.849942639,8.849942639,NetDemand
period1,sc01,t4262,2025-06-27 14:27:00,7.690740655,7.690740655,NetDemand
period1,sc01,t4263,2025-06-27 15:27:00,4.69610831,4.69610831,NetDemand
period1,sc01,t4264,2025-06-27 16:27:00,3.9406569279999997,3.9406569279999997,NetDemand
period1,sc01,t4265,2025-06-27 17:27:00,2.9410046579999998,2.9410046579999998,NetDemand
period1,sc01,t4266,2025-06-27 18:27:00,0.11723096700000024,0.11723096700000024,NetDemand
period1,sc01,t4267,2025-06-27 19:27:00,0.03428588999999993,0.03428588999999993,NetDemand
period1,sc01,t4268,2025-06-27 20:27:00,0.19698038800000003,0.19698038800000003,NetDemand
period1,sc01,t4269,2025-06-27 21:27:00,-0.4774248530000001,-0.4774248530000001,NetDemand
period1,sc01,t4270,2025-06-27 22:27:00,-0.26,-0.26,NetDemand
period1,sc01,t4271,2025-06-27 23:27:00,-0.15300000000000002,-0.15300000000000002,NetDemand
period1,sc01,t4272,2025-06-28 00:27:00,-0.247,-0.247,NetDemand
period1,sc01,t4273,2025-06-28 01:27:00,-0.14,-0.14,NetDemand
period1,sc01,t4274,2025-06-28 02:27:00,-1.8900000000000001,-1.8900000000000001,NetDemand
period1,sc01,t4275,2025-06-28 03:27:00,-0.7909999999999999,-0.7909999999999999,NetDemand
period1,sc01,t4276,2025-06-28 04:27:00,-2.454025014,-2.454025014,NetDemand
period1,sc01,t4277,2025-06-28 05:27:00,-3.024388903,-3.024388903,NetDemand
period1,sc01,t4278,2025-06-28 06:27:00,0.0,0.0,NetDemand
period1,sc01,t4279,2025-06-28 07:27:00,1.0846674389999997,1.0846674389999997,NetDemand
period1,sc01,t4280,2025-06-28 08:27:00,3.198006328,3.198006328,NetDemand
period1,sc01,t4281,2025-06-28 09:27:00,4.065302616,4.065302616,NetDemand
period1,sc01,t4282,2025-06-28 10:27:00,3.333824033,3.333824033,NetDemand
period1,sc01,t4283,2025-06-28 11:27:00,1.329068762,1.329068762,NetDemand
period1,sc01,t4284,2025-06-28 12:27:00,1.2852311939999999,1.2852311939999999,NetDemand
period1,sc01,t4285,2025-06-28 13:27:00,1.399673456,1.399673456,NetDemand
period1,sc01,t4286,2025-06-28 14:27:00,0.7921292820000001,0.7921292820000001,NetDemand
period1,sc01,t4287,2025-06-28 15:27:00,2.0335294540000004,2.0335294540000004,NetDemand
period1,sc01,t4288,2025-06-28 16:27:00,0.8359178979999999,0.8359178979999999,NetDemand
period1,sc01,t4289,2025-06-28 17:27:00,1.0343700969999998,1.0343700969999998,NetDemand
period1,sc01,t4290,2025-06-28 18:27:00,0.8759760649999999,0.8759760649999999,NetDemand
period1,sc01,t4291,2025-06-28 19:27:00,-1.653784045,-1.653784045,NetDemand
period1,sc01,t4292,2025-06-28 20:27:00,-0.24987497800000008,-0.24987497800000008,NetDemand
period1,sc01,t4293,2025-06-28 21:27:00,-0.042256358999999966,-0.042256358999999966,NetDemand
period1,sc01,t4294,2025-06-28 22:27:00,-0.40549392600000006,-0.40549392600000006,NetDemand
period1,sc01,t4295,2025-06-28 23:27:00,-0.11900000000000001,-0.11900000000000001,NetDemand
period1,sc01,t4296,2025-06-29 00:27:00,-0.261,-0.261,NetDemand
period1,sc01,t4297,2025-06-29 01:27:00,-0.371,-0.371,NetDemand
period1,sc01,t4298,2025-06-29 02:27:00,-1.709,-1.709,NetDemand
period1,sc01,t4299,2025-06-29 03:27:00,-0.22672660299999997,-0.22672660299999997,NetDemand
period1,sc01,t4300,2025-06-29 04:27:00,-0.355496727,-0.355496727,NetDemand
period1,sc01,t4301,2025-06-29 05:27:00,0.0,0.0,NetDemand
period1,sc01,t4302,2025-06-29 06:27:00,0.8717677860000002,0.8717677860000002,NetDemand
period1,sc01,t4303,2025-06-29 07:27:00,1.0972066059999999,1.0972066059999999,NetDemand
period1,sc01,t4304,2025-06-29 08:27:00,5.119642935,5.119642935,NetDemand
period1,sc01,t4305,2025-06-29 09:27:00,5.094900947,5.094900947,NetDemand
period1,sc01,t4306,2025-06-29 10:27:00,7.237730438,7.237730438,NetDemand
period1,sc01,t4307,2025-06-29 11:27:00,7.164826561,7.164826561,NetDemand
period1,sc01,t4308,2025-06-29 12:27:00,5.30939044,5.30939044,NetDemand
period1,sc01,t4309,2025-06-29 13:27:00,3.418289125,3.418289125,NetDemand
period1,sc01,t4310,2025-06-29 14:27:00,3.2271397200000003,3.2271397200000003,NetDemand
period1,sc01,t4311,2025-06-29 15:27:00,3.0438886309999997,3.0438886309999997,NetDemand
period1,sc01,t4312,2025-06-29 16:27:00,1.2560505599999998,1.2560505599999998,NetDemand
period1,sc01,t4313,2025-06-29 17:27:00,1.934743134,1.934743134,NetDemand
period1,sc01,t4314,2025-06-29 18:27:00,1.02080571,1.02080571,NetDemand
period1,sc01,t4315,2025-06-29 19:27:00,0.7925963340000001,0.7925963340000001,NetDemand
period1,sc01,t4316,2025-06-29 20:27:00,0.12662354300000006,0.12662354300000006,NetDemand
period1,sc01,t4317,2025-06-29 21:27:00,-0.45646366800000004,-0.45646366800000004,NetDemand
period1,sc01,t4318,2025-06-29 22:27:00,-0.247,-0.247,NetDemand
period1,sc01,t4319,2025-06-29 23:27:00,-0.133,-0.133,NetDemand
period1,sc01,t4320,2025-06-30 00:27:00,-1.347,-1.347,NetDemand
period1,sc01,t4321,2025-06-30 01:27:00,-2.233,-2.233,NetDemand
period1,sc01,t4322,2025-06-30 02:27:00,-6.067,-6.067,NetDemand
period1,sc01,t4323,2025-06-30 03:27:00,-2.4647462239999998,-2.4647462239999998,NetDemand
period1,sc01,t4324,2025-06-30 04:27:00,-0.931285233,-0.931285233,NetDemand
period1,sc01,t4325,2025-06-30 05:27:00,-0.24461419300000004,-0.24461419300000004,NetDemand
period1,sc01,t4326,2025-06-30 06:27:00,0.048621833000000114,0.048621833000000114,NetDemand
period1,sc01,t4327,2025-06-30 07:27:00,1.7048482839999999,1.7048482839999999,NetDemand
period1,sc01,t4328,2025-06-30 08:27:00,4.518394988,4.518394988,NetDemand
period1,sc01,t4329,2025-06-30 09:27:00,6.8710148129999995,6.8710148129999995,NetDemand
period1,sc01,t4330,2025-06-30 10:27:00,7.328983737000001,7.328983737000001,NetDemand
period1,sc01,t4331,2025-06-30 11:27:00,7.347984060000001,7.347984060000001,NetDemand
period1,sc01,t4332,2025-06-30 12:27:00,6.637190047,6.637190047,NetDemand
period1,sc01,t4333,2025-06-30 13:27:00,7.49280856,7.49280856,NetDemand
period1,sc01,t4334,2025-06-30 14:27:00,8.003533187,8.003533187,NetDemand
period1,sc01,t4335,2025-06-30 15:27:00,6.591736356999999,6.591736356999999,NetDemand
period1,sc01,t4336,2025-06-30 16:27:00,5.158987065000001,5.158987065000001,NetDemand
period1,sc01,t4337,2025-06-30 17:27:00,4.070937967,4.070937967,NetDemand
period1,sc01,t4338,2025-06-30 18:27:00,1.829707059,1.829707059,NetDemand
period1,sc01,t4339,2025-06-30 19:27:00,0.058303682999999995,0.058303682999999995,NetDemand
period1,sc01,t4340,2025-06-30 20:27:00,0.0,0.0,NetDemand
period1,sc01,t4341,2025-06-30 21:27:00,-0.09641235800000003,-0.09641235800000003,NetDemand
period1,sc01,t4342,2025-06-30 22:27:00,-0.36049821000000004,-0.36049821000000004,NetDemand
period1,sc01,t4343,2025-06-30 23:27:00,-0.182,-0.182,NetDemand
period1,sc01,t4344,2025-07-01 00:27:00,-0.6280000000000001,-0.6280000000000001,NetDemand
period1,sc01,t4345,2025-07-01 01:27:00,-0.112,-0.112,NetDemand
period1,sc01,t4346,2025-07-01 02:27:00,-0.258,-0.258,NetDemand
period1,sc01,t4347,2025-07-01 03:27:00,-0.14268101800000002,-0.14268101800000002,NetDemand
period1,sc01,t4348,2025-07-01 04:27:00,-0.192793236,-0.192793236,NetDemand
period1,sc01,t4349,2025-07-01 05:27:00,-0.15704262999999996,-0.15704262999999996,NetDemand
period1,sc01,t4350,2025-07-01 06:27:00,0.9269462029999999,0.9269462029999999,NetDemand
period1,sc01,t4351,2025-07-01 07:27:00,3.192348461,3.192348461,NetDemand
period1,sc01,t4352,2025-07-01 08:27:00,4.362284544,4.362284544,NetDemand
period1,sc01,t4353,2025-07-01 09:27:00,5.008541012,5.008541012,NetDemand
period1,sc01,t4354,2025-07-01 10:27:00,6.012740982,6.012740982,NetDemand
period1,sc01,t4355,2025-07-01 11:27:00,5.094529663,5.094529663,NetDemand
period1,sc01,t4356,2025-07-01 12:27:00,6.631890115,6.631890115,NetDemand
period1,sc01,t4357,2025-07-01 13:27:00,5.77761353,5.77761353,NetDemand
period1,sc01,t4358,2025-07-01 14:27:00,2.341438486,2.341438486,NetDemand
period1,sc01,t4359,2025-07-01 15:27:00,1.4319642189999997,1.4319642189999997,NetDemand
period1,sc01,t4360,2025-07-01 16:27:00,0.8388255670000002,0.8388255670000002,NetDemand
period1,sc01,t4361,2025-07-01 17:27:00,1.4695276130000001,1.4695276130000001,NetDemand
period1,sc01,t4362,2025-07-01 18:27:00,0.6747705819999998,0.6747705819999998,NetDemand
period1,sc01,t4363,2025-07-01 19:27:00,-0.5812593840000001,-0.5812593840000001,NetDemand
period1,sc01,t4364,2025-07-01 20:27:00,-0.07318389899999997,-0.07318389899999997,NetDemand
period1,sc01,t4365,2025-07-01 21:27:00,-0.216983227,-0.216983227,NetDemand
period1,sc01,t4366,2025-07-01 22:27:00,-0.648,-0.648,NetDemand
period1,sc01,t4367,2025-07-01 23:27:00,-0.45599999999999996,-0.45599999999999996,NetDemand
period1,sc01,t4368,2025-07-02 00:27:00,-0.23399999999999999,-0.23399999999999999,NetDemand
period1,sc01,t4369,2025-07-02 01:27:00,-0.14,-0.14,NetDemand
period1,sc01,t4370,2025-07-02 02:27:00,-1.71,-1.71,NetDemand
period1,sc01,t4371,2025-07-02 03:27:00,-1.1826151079999998,-1.1826151079999998,NetDemand
period1,sc01,t4372,2025-07-02 04:27:00,-4.390954750000001,-4.390954750000001,NetDemand
period1,sc01,t4373,2025-07-02 05:27:00,0.0,0.0,NetDemand
period1,sc01,t4374,2025-07-02 06:27:00,0.4103843930000002,0.4103843930000002,NetDemand
period1,sc01,t4375,2025-07-02 07:27:00,-0.26698952600000014,-0.26698952600000014,NetDemand
period1,sc01,t4376,2025-07-02 08:27:00,1.635680763,1.635680763,NetDemand
period1,sc01,t4377,2025-07-02 09:27:00,1.3817088350000002,1.3817088350000002,NetDemand
period1,sc01,t4378,2025-07-02 10:27:00,1.443058088,1.443058088,NetDemand
period1,sc01,t4379,2025-07-02 11:27:00,3.83675451,3.83675451,NetDemand
period1,sc01,t4380,2025-07-02 12:27:00,3.544859449,3.544859449,NetDemand
period1,sc01,t4381,2025-07-02 13:27:00,2.0477413720000004,2.0477413720000004,NetDemand
period1,sc01,t4382,2025-07-02 14:27:00,2.646953708,2.646953708,NetDemand
period1,sc01,t4383,2025-07-02 15:27:00,1.460071448,1.460071448,NetDemand
period1,sc01,t4384,2025-07-02 16:27:00,1.003205919,1.003205919,NetDemand
period1,sc01,t4385,2025-07-02 17:27:00,0.6090265089999999,0.6090265089999999,NetDemand
period1,sc01,t4386,2025-07-02 18:27:00,0.291981585,0.291981585,NetDemand
period1,sc01,t4387,2025-07-02 19:27:00,-0.0048686909999998695,-0.0048686909999998695,NetDemand
period1,sc01,t4388,2025-07-02 20:27:00,0.24404121600000006,0.24404121600000006,NetDemand
period1,sc01,t4389,2025-07-02 21:27:00,-0.017389614999999997,-0.017389614999999997,NetDemand
period1,sc01,t4390,2025-07-02 22:27:00,-0.6994984449999999,-0.6994984449999999,NetDemand
period1,sc01,t4391,2025-07-02 23:27:00,-0.274,-0.274,NetDemand
period1,sc01,t4392,2025-07-03 00:27:00,-0.28600000000000003,-0.28600000000000003,NetDemand
period1,sc01,t4393,2025-07-03 01:27:00,-0.147,-0.147,NetDemand
period1,sc01,t4394,2025-07-03 02:27:00,-0.6329999999999999,-0.6329999999999999,NetDemand
period1,sc01,t4395,2025-07-03 03:27:00,-0.147,-0.147,NetDemand
period1,sc01,t4396,2025-07-03 04:27:00,-0.45887482399999996,-0.45887482399999996,NetDemand
period1,sc01,t4397,2025-07-03 05:27:00,-0.44643395,-0.44643395,NetDemand
period1,sc01,t4398,2025-07-03 06:27:00,-0.187092388,-0.187092388,NetDemand
period1,sc01,t4399,2025-07-03 07:27:00,-2.3395056640000003,-2.3395056640000003,NetDemand
period1,sc01,t4400,2025-07-03 08:27:00,0.0,0.0,NetDemand
period1,sc01,t4401,2025-07-03 09:27:00,1.6425059629999998,1.6425059629999998,NetDemand
period1,sc01,t4402,2025-07-03 10:27:00,2.639833796,2.639833796,NetDemand
period1,sc01,t4403,2025-07-03 11:27:00,1.970838669,1.970838669,NetDemand
period1,sc01,t4404,2025-07-03 12:27:00,2.1670022909999997,2.1670022909999997,NetDemand
period1,sc01,t4405,2025-07-03 13:27:00,3.5168746560000006,3.5168746560000006,NetDemand
period1,sc01,t4406,2025-07-03 14:27:00,2.240781915,2.240781915,NetDemand
period1,sc01,t4407,2025-07-03 15:27:00,2.4501837249999996,2.4501837249999996,NetDemand
period1,sc01,t4408,2025-07-03 16:27:00,-1.0619797930000003,-1.0619797930000003,NetDemand
period1,sc01,t4409,2025-07-03 17:27:00,-4.045068488999999,-4.045068488999999,NetDemand
period1,sc01,t4410,2025-07-03 18:27:00,-0.4693754170000002,-0.4693754170000002,NetDemand
period1,sc01,t4411,2025-07-03 19:27:00,-0.32031541899999993,-0.32031541899999993,NetDemand
period1,sc01,t4412,2025-07-03 20:27:00,-0.317969784,-0.317969784,NetDemand
period1,sc01,t4413,2025-07-03 21:27:00,-1.2574725930000004,-1.2574725930000004,NetDemand
period1,sc01,t4414,2025-07-03 22:27:00,-1.0659999999999998,-1.0659999999999998,NetDemand
period1,sc01,t4415,2025-07-03 23:27:00,-0.497,-0.497,NetDemand
period1,sc01,t4416,2025-07-04 00:27:00,-1.013,-1.013,NetDemand
period1,sc01,t4417,2025-07-04 01:27:00,-0.532,-0.532,NetDemand
period1,sc01,t4418,2025-07-04 02:27:00,-1.188,-1.188,NetDemand
period1,sc01,t4419,2025-07-04 03:27:00,-0.6709999999999998,-0.6709999999999998,NetDemand
period1,sc01,t4420,2025-07-04 04:27:00,-0.6776741150000001,-0.6776741150000001,NetDemand
period1,sc01,t4421,2025-07-04 05:27:00,-0.41549763000000006,-0.41549763000000006,NetDemand
period1,sc01,t4422,2025-07-04 06:27:00,-0.023351226000000003,-0.023351226000000003,NetDemand
period1,sc01,t4423,2025-07-04 07:27:00,0.01107271700000001,0.01107271700000001,NetDemand
period1,sc01,t4424,2025-07-04 08:27:00,0.26210905,0.26210905,NetDemand
period1,sc01,t4425,2025-07-04 09:27:00,1.1725621099999999,1.1725621099999999,NetDemand
period1,sc01,t4426,2025-07-04 10:27:00,2.8711335840000003,2.8711335840000003,NetDemand
period1,sc01,t4427,2025-07-04 11:27:00,1.088602901,1.088602901,NetDemand
period1,sc01,t4428,2025-07-04 12:27:00,2.69132175,2.69132175,NetDemand
period1,sc01,t4429,2025-07-04 13:27:00,3.6287579480000005,3.6287579480000005,NetDemand
period1,sc01,t4430,2025-07-04 14:27:00,3.50519814,3.50519814,NetDemand
period1,sc01,t4431,2025-07-04 15:27:00,2.328925714,2.328925714,NetDemand
period1,sc01,t4432,2025-07-04 16:27:00,1.1857986620000003,1.1857986620000003,NetDemand
period1,sc01,t4433,2025-07-04 17:27:00,2.372643175,2.372643175,NetDemand
period1,sc01,t4434,2025-07-04 18:27:00,1.149878673,1.149878673,NetDemand
period1,sc01,t4435,2025-07-04 19:27:00,-0.274933251,-0.274933251,NetDemand
period1,sc01,t4436,2025-07-04 20:27:00,-0.647552795,-0.647552795,NetDemand
period1,sc01,t4437,2025-07-04 21:27:00,-0.38038901199999997,-0.38038901199999997,NetDemand
period1,sc01,t4438,2025-07-04 22:27:00,-0.34399736,-0.34399736,NetDemand
period1,sc01,t4439,2025-07-04 23:27:00,-0.224,-0.224,NetDemand
period1,sc01,t4440,2025-07-05 00:27:00,-0.6859999999999999,-0.6859999999999999,NetDemand
period1,sc01,t4441,2025-07-05 01:27:00,-0.315,-0.315,NetDemand
period1,sc01,t4442,2025-07-05 02:27:00,-2.845,-2.845,NetDemand
period1,sc01,t4443,2025-07-05 03:27:00,-2.0406739720000004,-2.0406739720000004,NetDemand
period1,sc01,t4444,2025-07-05 04:27:00,-0.6348718740000001,-0.6348718740000001,NetDemand
period1,sc01,t4445,2025-07-05 05:27:00,-0.21346806899999998,-0.21346806899999998,NetDemand
period1,sc01,t4446,2025-07-05 06:27:00,0.9540984829999999,0.9540984829999999,NetDemand
period1,sc01,t4447,2025-07-05 07:27:00,2.474769993,2.474769993,NetDemand
period1,sc01,t4448,2025-07-05 08:27:00,1.762466213,1.762466213,NetDemand
period1,sc01,t4449,2025-07-05 09:27:00,4.673899142,4.673899142,NetDemand
period1,sc01,t4450,2025-07-05 10:27:00,6.509461734,6.509461734,NetDemand
period1,sc01,t4451,2025-07-05 11:27:00,9.207126267,9.207126267,NetDemand
period1,sc01,t4452,2025-07-05 12:27:00,4.258930912,4.258930912,NetDemand
period1,sc01,t4453,2025-07-05 13:27:00,7.484896708000001,7.484896708000001,NetDemand
period1,sc01,t4454,2025-07-05 14:27:00,3.867717109,3.867717109,NetDemand
period1,sc01,t4455,2025-07-05 15:27:00,4.119188406,4.119188406,NetDemand
period1,sc01,t4456,2025-07-05 16:27:00,2.742976812,2.742976812,NetDemand
period1,sc01,t4457,2025-07-05 17:27:00,0.7186219019999998,0.7186219019999998,NetDemand
period1,sc01,t4458,2025-07-05 18:27:00,2.017242895,2.017242895,NetDemand
period1,sc01,t4459,2025-07-05 19:27:00,0.890047508,0.890047508,NetDemand
period1,sc01,t4460,2025-07-05 20:27:00,-0.7904168909999999,-0.7904168909999999,NetDemand
period1,sc01,t4461,2025-07-05 21:27:00,-0.34990330599999997,-0.34990330599999997,NetDemand
period1,sc01,t4462,2025-07-05 22:27:00,-0.5294987969999999,-0.5294987969999999,NetDemand
period1,sc01,t4463,2025-07-05 23:27:00,-0.175,-0.175,NetDemand
period1,sc01,t4464,2025-07-06 00:27:00,-0.48499999999999993,-0.48499999999999993,NetDemand
period1,sc01,t4465,2025-07-06 01:27:00,-0.5259999999999998,-0.5259999999999998,NetDemand
period1,sc01,t4466,2025-07-06 02:27:00,-0.754,-0.754,NetDemand
period1,sc01,t4467,2025-07-06 03:27:00,-0.5193225690000001,-0.5193225690000001,NetDemand
period1,sc01,t4468,2025-07-06 04:27:00,-0.149671312,-0.149671312,NetDemand
period1,sc01,t4469,2025-07-06 05:27:00,0.031162216999999992,0.031162216999999992,NetDemand
period1,sc01,t4470,2025-07-06 06:27:00,0.195692564,0.195692564,NetDemand
period1,sc01,t4471,2025-07-06 07:27:00,2.103342631,2.103342631,NetDemand
