Period,Scenario,LoadLevel,Date,MWh,KWh,Type
period1,sc01,t0073,2025-01-04 01:27:00,-2.982,-2.982,NetDemand
period1,sc01,t0074,2025-01-04 02:27:00,-5.557999999999999,-5.557999999999999,NetDemand
period1,sc01,t0075,2025-01-04 03:27:00,-6.339,-6.339,NetDemand
period1,sc01,t0076,2025-01-04 04:27:00,-2.051,-2.051,NetDemand
period1,sc01,t0077,2025-01-04 05:27:00,-5.278,-5.278,NetDemand
period1,sc01,t0078,2025-01-04 06:27:00,-2.912,-2.912,NetDemand
period1,sc01,t0079,2025-01-04 07:27:00,-5.239000000000001,-5.239000000000001,NetDemand
period1,sc01,t0080,2025-01-04 08:27:00,-3.180999999999999,-3.180999999999999,NetDemand
period1,sc01,t0081,2025-01-04 09:27:00,-2.7964456529999997,-2.7964456529999997,NetDemand
period1,sc01,t0082,2025-01-04 10:27:00,-5.0345362100000015,-5.0345362100000015,NetDemand
period1,sc01,t0083,2025-01-04 11:27:00,-2.6457334720000008,-2.6457334720000008,NetDemand
period1,sc01,t0084,2025-01-04 12:27:00,-2.4429686389999996,-2.4429686389999996,NetDemand
period1,sc01,t0085,2025-01-04 13:27:00,0.0,0.0,NetDemand
period1,sc01,t0086,2025-01-04 14:27:00,-2.010440259999999,-2.010440259999999,NetDemand
period1,sc01,t0087,2025-01-04 15:27:00,-3.415946528,-3.415946528,NetDemand
period1,sc01,t0088,2025-01-04 16:27:00,-2.249437559,-2.249437559,NetDemand
period1,sc01,t0089,2025-01-04 17:27:00,-6.947,-6.947,NetDemand
period1,sc01,t0090,2025-01-04 18:27:00,-3.633,-3.633,NetDemand
period1,sc01,t0091,2025-01-04 19:27:00,-4.836000000000001,-4.836000000000001,NetDemand
period1,sc01,t0092,2025-01-04 20:27:00,-6.604,-6.604,NetDemand
period1,sc01,t0093,2025-01-04 21:27:00,-3.1720000000000015,-3.1720000000000015,NetDemand
period1,sc01,t0094,2025-01-04 22:27:00,-5.537999999999999,-5.537999999999999,NetDemand
period1,sc01,t0095,2025-01-04 23:27:00,-2.7510000000000003,-2.7510000000000003,NetDemand
period1,sc01,t0096,2025-01-05 00:27:00,-9.448999999999998,-9.448999999999998,NetDemand
period1,sc01,t0097,2025-01-05 01:27:00,-3.6300000000000017,-3.6300000000000017,NetDemand
period1,sc01,t0098,2025-01-05 02:27:00,-5.329999999999999,-5.329999999999999,NetDemand
period1,sc01,t0099,2025-01-05 03:27:00,-6.824999999999999,-6.824999999999999,NetDemand
period1,sc01,t0100,2025-01-05 04:27:00,-3.2550000000000003,-3.2550000000000003,NetDemand
period1,sc01,t0101,2025-01-05 05:27:00,-5.135,-5.135,NetDemand
period1,sc01,t0102,2025-01-05 06:27:00,-5.635,-5.635,NetDemand
period1,sc01,t0103,2025-01-05 07:27:00,-10.14,-10.14,NetDemand
period1,sc01,t0104,2025-01-05 08:27:00,-5.529999999999999,-5.529999999999999,NetDemand
period1,sc01,t0105,2025-01-05 09:27:00,-8.125,-8.125,NetDemand
period1,sc01,t0106,2025-01-05 10:27:00,-7.01490033,-7.01490033,NetDemand
period1,sc01,t0107,2025-01-05 11:27:00,-2.553284861,-2.553284861,NetDemand
period1,sc01,t0108,2025-01-05 12:27:00,-2.0961159709999997,-2.0961159709999997,NetDemand
period1,sc01,t0109,2025-01-05 13:27:00,0.0,0.0,NetDemand
period1,sc01,t0110,2025-01-05 14:27:00,-1.3376030610000007,-1.3376030610000007,NetDemand
period1,sc01,t0111,2025-01-05 15:27:00,-3.3541961260000006,-3.3541961260000006,NetDemand
period1,sc01,t0112,2025-01-05 16:27:00,-1.9939655660000002,-1.9939655660000002,NetDemand
period1,sc01,t0113,2025-01-05 17:27:00,-5.252999999999998,-5.252999999999998,NetDemand
