Period,Scenario,LoadLevel,TotalOutput,Date
period1,sc01,t1884,9.12486517,2025-03-20 12:27:00
period1,sc01,t3898,9.10131016725,2025-06-12 10:27:00
period1,sc01,t3826,9.094739334,2025-06-09 10:27:00
period1,sc01,t1837,9.094614966,2025-03-18 13:27:00
period1,sc01,t3782,9.094142385,2025-06-07 14:27:00
period1,sc01,t2699,9.08301678,2025-04-23 11:27:00
period1,sc01,t3756,9.066816184,2025-06-06 12:27:00
period1,sc01,t2674,9.064701315,2025-04-22 10:27:00
period1,sc01,t4907,9.052251435,2025-07-24 11:27:00
period1,sc01,t5532,9.037819026,2025-08-19 12:27:00
period1,sc01,t2123,9.03777854,2025-03-30 11:27:00
period1,sc01,t5989,9.033475343,2025-09-07 13:27:00
period1,sc01,t4524,9.021100044,2025-07-08 12:27:00
period1,sc01,t6732,9.01507255,2025-10-08 12:27:00
period1,sc01,t3182,8.999356816,2025-05-13 14:27:00
period1,sc01,t5510,8.9987126,2025-08-18 14:27:00
period1,sc01,t5748,8.99785682,2025-08-28 12:27:00
period1,sc01,t6708,8.997077437,2025-10-07 12:27:00
period1,sc01,t2462,8.997032773,2025-04-13 14:27:00
period1,sc01,t3322,8.991102911,2025-05-19 10:27:00
period1,sc01,t5987,8.989038359,2025-09-07 11:27:00
period1,sc01,t3491,8.984855708,2025-05-26 11:27:00
period1,sc01,t3178,8.980164737,2025-05-13 10:27:00
period1,sc01,t3802,8.973226054,2025-06-08 10:27:00
period1,sc01,t1933,8.93605744,2025-03-22 13:27:00
period1,sc01,t4957,8.932208915,2025-07-26 13:27:00
period1,sc01,t4786,8.930542969,2025-07-19 10:27:00
period1,sc01,t6155,8.929588065,2025-09-14 11:27:00
period1,sc01,t3638,8.928569037,2025-06-01 14:27:00
period1,sc01,t3806,8.922258732,2025-06-08 14:27:00
period1,sc01,t3132,8.919655302,2025-05-11 12:27:00
period1,sc01,t3733,8.915896252,2025-06-05 13:27:00
period1,sc01,t1309,8.914576581,2025-02-24 13:27:00
period1,sc01,t4909,8.910751068,2025-07-24 13:27:00
period1,sc01,t3758,8.897073602,2025-06-06 14:27:00
period1,sc01,t3082,8.891968669,2025-05-09 10:27:00
period1,sc01,t3539,8.887801877,2025-05-28 11:27:00
period1,sc01,t5486,8.879723194,2025-08-17 14:27:00
period1,sc01,t3661,8.876390099,2025-06-02 13:27:00
period1,sc01,t1979,8.867158898,2025-03-24 11:27:00
period1,sc01,t3086,8.862170187,2025-05-09 14:27:00
period1,sc01,t1910,8.824437124,2025-03-21 14:27:00
period1,sc01,t2962,8.824144413,2025-05-04 10:27:00
period1,sc01,t1931,8.816606325,2025-03-22 11:27:00
period1,sc01,t4262,8.807740655,2025-06-27 14:27:00
period1,sc01,t6277,8.806875931,2025-09-19 13:27:00
period1,sc01,t1405,8.795021351,2025-02-28 13:27:00
period1,sc01,t1429,8.794927168,2025-03-01 13:27:00
period1,sc01,t4956,8.787578434,2025-07-26 12:27:00
period1,sc01,t2458,8.786173932,2025-04-13 10:27:00
period1,sc01,t2482,8.776025137,2025-04-14 10:27:00
period1,sc01,t3133,8.765467529,2025-05-11 13:27:00
period1,sc01,t2986,8.763562614,2025-05-05 10:27:00
period1,sc01,t3106,8.757511961,2025-05-10 10:27:00
period1,sc01,t1980,8.753027338,2025-03-24 12:27:00
period1,sc01,t3734,8.73698401,2025-06-05 14:27:00
period1,sc01,t3778,8.73081655,2025-06-07 10:27:00
period1,sc01,t5747,8.704276005,2025-08-28 11:27:00
period1,sc01,t4884,8.701505098,2025-07-23 12:27:00
period1,sc01,t3947,8.684020002,2025-06-14 11:27:00
period1,sc01,t5963,8.681345162,2025-09-06 11:27:00
period1,sc01,t2819,8.681009965,2025-04-28 11:27:00
period1,sc01,t6731,8.676929115,2025-10-08 11:27:00
period1,sc01,t3755,8.675740844,2025-06-06 11:27:00
period1,sc01,t3874,8.667914445,2025-06-11 10:27:00
period1,sc01,t2698,8.64367062,2025-04-23 10:27:00
period1,sc01,t3230,8.64237317,2025-05-15 14:27:00
period1,sc01,t4979,8.641985778,2025-07-27 11:27:00
period1,sc01,t4932,8.641536209,2025-07-25 12:27:00
period1,sc01,t1332,8.634720632,2025-02-25 12:27:00
period1,sc01,t2218,8.631243704,2025-04-03 10:27:00
period1,sc01,t1907,8.627149384,2025-03-21 11:27:00
period1,sc01,t3948,8.621456779,2025-06-14 12:27:00
period1,sc01,t3202,8.614500663,2025-05-14 10:27:00
period1,sc01,t6299,8.612310289,2025-09-20 11:27:00
period1,sc01,t1381,8.609159696,2025-02-27 13:27:00
period1,sc01,t1380,8.606771078,2025-02-27 12:27:00
period1,sc01,t2939,8.59850884,2025-05-03 11:27:00
period1,sc01,t4067,8.59801037,2025-06-19 11:27:00
period1,sc01,t6733,8.593886231,2025-10-08 13:27:00
period1,sc01,t2748,8.592832109,2025-04-25 12:27:00
period1,sc01,t3058,8.590098654,2025-05-08 10:27:00
period1,sc01,t3062,8.588658158,2025-05-08 14:27:00
period1,sc01,t6756,8.588606697,2025-10-09 12:27:00
period1,sc01,t4933,8.566876036,2025-07-25 13:27:00
period1,sc01,t3226,8.565841031,2025-05-15 10:27:00
period1,sc01,t3634,8.558114158,2025-06-01 10:27:00
period1,sc01,t5749,8.55554403,2025-08-28 13:27:00
period1,sc01,t3662,8.548795562,2025-06-02 14:27:00
period1,sc01,t6683,8.535470105,2025-10-06 11:27:00
period1,sc01,t6709,8.533929589,2025-10-07 13:27:00
period1,sc01,t6372,8.532968099,2025-09-23 12:27:00
period1,sc01,t4334,8.525533187,2025-06-30 14:27:00
period1,sc01,t3130,8.522592744,2025-05-11 10:27:00
period1,sc01,t3110,8.51798247,2025-05-10 14:27:00
period1,sc01,t1333,8.510332457,2025-02-25 13:27:00
period1,sc01,t3730,8.493698909,2025-06-05 10:27:00
period1,sc01,t3685,8.492513143,2025-06-03 13:27:00
period1,sc01,t4789,8.488448592,2025-07-19 13:27:00
period1,sc01,t4834,8.479463408,2025-07-21 10:27:00
period1,sc01,t2746,8.478743769,2025-04-25 10:27:00
period1,sc01,t5482,8.472279683,2025-08-17 10:27:00
period1,sc01,t5966,8.471497956,2025-09-06 14:27:00
period1,sc01,t5508,8.444240694,2025-08-18 12:27:00
period1,sc01,t4453,8.443896708,2025-07-05 13:27:00
period1,sc01,t1356,8.441082429,2025-02-26 12:27:00
period1,sc01,t3731,8.436051671,2025-06-05 11:27:00
period1,sc01,t3206,8.424528017,2025-05-14 14:27:00
period1,sc01,t3659,8.42018382,2025-06-02 11:27:00
period1,sc01,t3855,8.414382868,2025-06-10 15:27:00
period1,sc01,t2027,8.408863734,2025-03-26 11:27:00
period1,sc01,t1357,8.386816992,2025-02-26 13:27:00
period1,sc01,t4258,8.385810456,2025-06-27 10:27:00
period1,sc01,t6659,8.379824334,2025-10-05 11:27:00
period1,sc01,t6011,8.378896591,2025-09-08 11:27:00
period1,sc01,t1838,8.367242663,2025-03-18 14:27:00
period1,sc01,t2751,8.346664318,2025-04-25 15:27:00
period1,sc01,t2987,8.339353686,2025-05-05 11:27:00
period1,sc01,t4787,8.335846749,2025-07-19 11:27:00
period1,sc01,t6755,8.330923497,2025-10-09 11:27:00
period1,sc01,t2434,8.304972517,2025-04-12 10:27:00
period1,sc01,t5986,8.298983777,2025-09-07 10:27:00
period1,sc01,t3921,8.2922996728,2025-06-13 09:27:00
period1,sc01,t3154,8.291182612,2025-05-12 10:27:00
period1,sc01,t2943,8.284462113,2025-05-03 15:27:00
period1,sc01,t5844,8.28172124,2025-09-01 12:27:00
period1,sc01,t2938,8.255840868,2025-05-03 10:27:00
period1,sc01,t2702,8.248810396,2025-04-23 14:27:00
period1,sc01,t5386,8.244786237,2025-08-13 10:27:00
period1,sc01,t1934,8.237408653,2025-03-22 14:27:00
period1,sc01,t6371,8.236003603,2025-09-23 11:27:00
period1,sc01,t5990,8.232287451,2025-09-07 14:27:00
period1,sc01,t5678,8.229952314,2025-08-25 14:27:00
period1,sc01,t1883,8.225120637,2025-03-20 11:27:00
period1,sc01,t6660,8.213109346,2025-10-05 12:27:00
period1,sc01,t2075,8.211462777,2025-03-28 11:27:00
period1,sc01,t6010,8.203174126,2025-09-08 10:27:00
period1,sc01,t3686,8.193584981,2025-06-03 14:27:00
period1,sc01,t2006,8.186003006,2025-03-25 14:27:00
period1,sc01,t4859,8.174339791,2025-07-22 11:27:00
period1,sc01,t3039,8.172197653,2025-05-07 15:27:00
period1,sc01,t4906,8.16900662,2025-07-24 10:27:00
period1,sc01,t6373,8.150266364,2025-09-23 13:27:00
period1,sc01,t5051,8.14784552,2025-07-30 11:27:00
period1,sc01,t5099,8.147803244,2025-08-01 11:27:00
period1,sc01,t5147,8.147760967,2025-08-03 11:27:00
period1,sc01,t5171,8.147739829,2025-08-04 11:27:00
period1,sc01,t5195,8.147718691,2025-08-05 11:27:00
period1,sc01,t5219,8.147697553,2025-08-06 11:27:00
period1,sc01,t5243,8.147676415,2025-08-07 11:27:00
period1,sc01,t5267,8.147655276,2025-08-08 11:27:00
period1,sc01,t5291,8.147634138,2025-08-09 11:27:00
period1,sc01,t5315,8.147613,2025-08-10 11:27:00
period1,sc01,t5339,8.147591862,2025-08-11 11:27:00
period1,sc01,t5363,8.147570723,2025-08-12 11:27:00
period1,sc01,t6468,8.132210082,2025-09-27 12:27:00
period1,sc01,t1981,8.130308754,2025-03-24 13:27:00
