,,,EleR_01,HydR_01
period1,sc01,t0152, 0.8721356 ,
period1,sc01,t0153, 0.9181704 ,
period1,sc01,t0154, 1.114708 ,
period1,sc01,t0155, 1.12044799999999 ,
period1,sc01,t0156, 0.989576 ,
period1,sc01,t0157, 0.9848692 ,
period1,sc01,t0158, 1.0537492 ,
period1,sc01,t0159, 0.9242548 ,
period1,sc01,t0160, 0.9062312 ,
period1,sc01,t0161, 0.9175964 ,
period1,sc01,t0162, 0.9032464 ,
period1,sc01,t0163, 0.8998024 ,
period1,sc01,t0164, 0.8539972 ,
period1,sc01,t0165, 0.7689304 ,
period1,sc01,t0166, 0.6886852 ,
period1,sc01,t0167, 0.560223999999999 ,
period1,sc01,t0168, 0.412132 ,
period1,sc01,t0169, 0.2805712 ,
period1,sc01,t0170, 0.106764 ,
period1,sc01,t0171, 0.104468 ,
period1,sc01,t0172, 0.0477568 ,
period1,sc01,t0173, 0.0640584 ,
period1,sc01,t0174, 0.1138816 ,
period1,sc01,t0175, 0.103549599999999 ,
period1,sc01,t0176, 0.189075599999999 ,
period1,sc01,t0177, 0.3108784 ,
period1,sc01,t0178, 0.3338384 ,
period1,sc01,t0179, 0.4043256 ,
period1,sc01,t0180, 0.53956 ,
period1,sc01,t0181, 0.53956 ,
period1,sc01,t0182, 0.5620608 ,
period1,sc01,t0183, 0.6303668 ,
period1,sc01,t0184, 0.7288652 ,
period1,sc01,t0185, 0.7589428 ,
period1,sc01,t0186, 0.7943012 ,
period1,sc01,t0187, 0.802566799999999 ,
period1,sc01,t0188, 0.7533176 ,
period1,sc01,t0189, 0.7000504 ,
period1,sc01,t0190, 0.6590668 ,
period1,sc01,t0191, 0.5742296 ,
period1,sc01,t0192, 0.5314092 ,
period1,sc01,t0193, 0.7925792 ,
period1,sc01,t0194, 0.7390824 ,
period1,sc01,t0195, 0.6920144 ,
period1,sc01,t0196, 0.452426799999999 ,
period1,sc01,t0197, 0.5434632 ,
period1,sc01,t0198, 0.7920052 ,
period1,sc01,t0199, 1.2003488 ,
period1,sc01,t0200, 1.4735728 ,
period1,sc01,t0201, 1.6912336 ,
period1,sc01,t0202, 1.8489688 ,
period1,sc01,t0203, 1.7695272 ,
period1,sc01,t0204, 1.7829588 ,
period1,sc01,t0205, 1.5669052 ,
period1,sc01,t0206, 1.5378608 ,
period1,sc01,t0207, 1.5970976 ,
period1,sc01,t0208, 1.6805572 ,
period1,sc01,t0209, 1.800638 ,
period1,sc01,t0210, 1.8905264 ,
period1,sc01,t0211, 1.8751432 ,
period1,sc01,t0212, 1.810396 ,
period1,sc01,t0213, 1.6654036 ,
period1,sc01,t0214, 1.5454376 ,
period1,sc01,t0215, 0.9624832 ,
period1,sc01,t0216, 0.9251732 ,
period1,sc01,t0217, 0.873054 ,
period1,sc01,t0218, 0.917826 ,
period1,sc01,t0219, 0.904853599999999 ,
period1,sc01,t0220, 0.9190888 ,
period1,sc01,t0221, 0.9546768 ,
period1,sc01,t0222, 1.0449096 ,
period1,sc01,t0223, 1.522822 ,
period1,sc01,t0224, 1.7213112 ,
period1,sc01,t0225, 1.8428844 ,
period1,sc01,t0226, 1.7882396 ,
period1,sc01,t0227, 1.7213112 ,
period1,sc01,t0228, 1.6291268 ,
period1,sc01,t0229, 1.6080036 ,
period1,sc01,t0230, 1.6068556 ,
period1,sc01,t0231, 1.62924159999999 ,
period1,sc01,t0232, 1.6349816 ,
period1,sc01,t0233, 1.5992788 ,
period1,sc01,t0234, 1.6396884 ,
period1,sc01,t0235, 1.5736784 ,
period1,sc01,t0236, 1.39436079999999 ,
period1,sc01,t0237, 1.2127472 ,
period1,sc01,t0238, 0.9933644 ,
period1,sc01,t0239, 0.910938 ,
period1,sc01,t0240, 0.6402396 ,
period1,sc01,t0241, 0.4825044 ,
period1,sc01,t0242, 0.3183404 ,
period1,sc01,t0243, 0.2889516 ,
period1,sc01,t0244, 0.2591036 ,
period1,sc01,t0245, 0.2926252 ,
period1,sc01,t0246, 0.305368 ,
period1,sc01,t0247, 0.557239199999999 ,
period1,sc01,t0248, 0.8207052 ,
period1,sc01,t0249, 0.8347108 ,
period1,sc01,t0250, 0.8031408 ,
period1,sc01,t0251, 0.7908572 ,
period1,sc01,t0252, 0.7954492 ,
period1,sc01,t0253, 0.7905128 ,
period1,sc01,t0254, 0.766864 ,
period1,sc01,t0255, 0.7980896 ,
period1,sc01,t0256, 0.8714468 ,
period1,sc01,t0257, 0.8821232 ,
period1,sc01,t0258, 0.8504384 ,
period1,sc01,t0259, 0.8619184 ,
period1,sc01,t0260, 0.780525199999999 ,
period1,sc01,t0261, 0.7480368 ,
period1,sc01,t0262, 0.6889148 ,
period1,sc01,t0263, 0.5729668 ,
period1,sc01,t0264, 0.4973136 ,
period1,sc01,t0265, 0.2282224 ,
period1,sc01,t0266, 6.37139999999999E-02 ,
period1,sc01,t0267, 0.0538412 ,
period1,sc01,t0268, 0.001148 ,
period1,sc01,t0269, 0.0313404 ,
period1,sc01,t0270, 0.2863112 ,
period1,sc01,t0271, 0.413394799999999 ,
period1,sc01,t0272, 0.688570399999999 ,
period1,sc01,t0273, 0.7482664 ,
period1,sc01,t0274, 0.7465444 ,
period1,sc01,t0275, 0.761124 ,
period1,sc01,t0276, 0.7659456 ,
period1,sc01,t0277, 0.764568 ,
period1,sc01,t0278, 0.813357999999999 ,
period1,sc01,t0279, 0.8467648 ,
period1,sc01,t0280, 1.0663772 ,
period1,sc01,t0281, 1.11011599999999 ,
period1,sc01,t0282, 1.2621112 ,
period1,sc01,t0283, 1.3387976 ,
period1,sc01,t0284, 1.1292876 ,
period1,sc01,t0285, 0.8504384 ,
period1,sc01,t0286, 0.85526 ,
period1,sc01,t0287, 0.7673232 ,
period1,sc01,t0288, 0.4877852 ,
period1,sc01,t0289, 0.3747072 ,
period1,sc01,t0290, 0.2510676 ,
period1,sc01,t0291, 0.1898792 ,
period1,sc01,t0292, 0.2119208 ,
period1,sc01,t0293, 0.2849336 ,
period1,sc01,t0294, 0.3480736 ,
period1,sc01,t0295, 0.6439132 ,
period1,sc01,t0296, 0.9846396 ,
period1,sc01,t0297, 1.097488 ,
period1,sc01,t0298, 1.1276804 ,
period1,sc01,t0299, 1.0628184 ,
period1,sc01,t0300, 0.9749964 ,
period1,sc01,t0301, 0.8785644 ,
period1,sc01,t0302, 0.8262156 ,
period1,sc01,t0303, 0.865132799999999 ,
period1,sc01,t0304, 0.9392936 ,
period1,sc01,t0305, 0.9793588 ,
