,,,EV_01,EV_02,EV_03,EV_04,EV_05,EV_06,EV_07,EV_08,EV_09,EV_10,BESS_01,Solar_01,Solar_02,Solar_03,Solar_04,Solar_05,Solar_06,Solar_07,Solar_08,Solar_09,Solar_10
period1,sc01,t0040, 0.248139382494676 , 0.242138239579714 , 0.482339446878808 , 0.665276228073702 , 0.360581583509181 , 0 , 0.454254013911053 , 0.332707442937453 , 0 , 0.548919718178145 ,,,,,,,,,,,
period1,sc01,t0041, 0.248139382494676 , 0 , 0.482339446878808 , 0.665276228073702 , 0.360581583509181 , 0 , 0.454254013911053 , 0 , 0 , 0.548919718178145 ,,,,,,,,,,,
period1,sc01,t0042, 0.248139382494676 , 0 , 0 , 0.665276228073702 , 0.360581583509181 , 0 , 0.454254013911053 , 0 , 0 , 0.548919718178145 ,,,,,,,,,,,
period1,sc01,t0043, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.548919718178145 ,,,,,,,,,,,
period1,sc01,t0044, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,,,,,,,,,,,
period1,sc01,t0045, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,,,,,,,,,,,
period1,sc01,t0046, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,,,,,,,,,,,
period1,sc01,t0047, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,,,,,,,,,,,
period1,sc01,t0048, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,,,,,,,,,,,
period1,sc01,t0049, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,,,,,,,,,,,
period1,sc01,t0050, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,,,,,,,,,,,
period1,sc01,t0051, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,,,,,,,,,,,
period1,sc01,t0052, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,,,,,,,,,,,
period1,sc01,t0053, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,,,,,,,,,,,
period1,sc01,t0054, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.660253281459382 , 0 , 0 ,,,,,,,,,,,
period1,sc01,t0055, 0 , 0 , 0.756757485658648 , 0 , 0 , 0.713442408271455 , 0 , 0.660253281459382 , 0.548775017254003 , 0.498698420969686 ,,,,,,,,,,,
period1,sc01,t0056, 0 , 0.499923357545849 , 0.756757485658648 , 0 , 0.93712560941662 , 0.713442408271455 , 0 , 0.660253281459382 , 0.548775017254003 , 0.498698420969686 ,,,,,,,,,,,
period1,sc01,t0057, 0 , 0.499923357545849 , 0.756757485658648 , 0.468470216420366 , 0.93712560941662 , 0.713442408271455 , 0.986057911902977 , 0.660253281459382 , 0.548775017254003 , 0.498698420969686 ,,,,,,,,,,,
period1,sc01,t0058, 0 , 0.499923357545849 , 0.756757485658648 , 0.468470216420366 , 0.93712560941662 , 0.713442408271455 , 0.986057911902977 , 0.660253281459382 , 0.548775017254003 , 0.498698420969686 ,,,,,,,,,,,
period1,sc01,t0059, 0 , 0.499923357545849 , 0.756757485658648 , 0.468470216420366 , 0.93712560941662 , 0.713442408271455 , 0.986057911902977 , 0.660253281459382 , 0.548775017254003 , 0.498698420969686 ,,,,,,,,,,,
period1,sc01,t0060, 0 , 0.499923357545849 , 0.756757485658648 , 0.468470216420366 , 0.93712560941662 , 0.713442408271455 , 0.986057911902977 , 0.660253281459382 , 0.548775017254003 , 0.498698420969686 ,,,,,,,,,,,
period1,sc01,t0061, 0 , 0.499923357545849 , 0.756757485658648 , 0.468470216420366 , 0.93712560941662 , 0.713442408271455 , 0.986057911902977 , 0.660253281459382 , 0.548775017254003 , 0.498698420969686 ,,,,,,,,,,,
period1,sc01,t0062, 0 , 0.499923357545849 , 0.756757485658648 , 0.468470216420366 , 0.93712560941662 , 0.713442408271455 , 0.986057911902977 , 0.660253281459382 , 0.548775017254003 , 0.498698420969686 ,,,,,,,,,,,
period1,sc01,t0063, 0 , 0.499923357545849 , 0.756757485658648 , 0.468470216420366 , 0.93712560941662 , 0.713442408271455 , 0.986057911902977 , 0.660253281459382 , 0.548775017254003 , 0.498698420969686 ,,,,,,,,,,,
period1,sc01,t0064, 0 , 0.499923357545849 , 0.756757485658648 , 0.468470216420366 , 0.93712560941662 , 0.713442408271455 , 0.986057911902977 , 0.660253281459382 , 0.548775017254003 , 0.498698420969686 ,,,,,,,,,,,
period1,sc01,t0065, 0 , 0.499923357545849 , 0.756757485658648 , 0.468470216420366 , 0 , 0 , 0.986057911902977 , 0.660253281459382 , 0.548775017254003 , 0.498698420969686 ,,,,,,,,,,,
period1,sc01,t0066, 0 , 0 , 0.756757485658648 , 0.468470216420366 , 0 , 0 , 0.986057911902977 , 0 , 0.548775017254003 , 0.498698420969686 ,,,,,,,,,,,
period1,sc01,t0067, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.548775017254003 , 0.498698420969686 ,,,,,,,,,,,
period1,sc01,t0068, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,,,,,,,,,,,
period1,sc01,t0069, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,,,,,,,,,,,
period1,sc01,t0070, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,,,,,,,,,,,
period1,sc01,t0071, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,,,,,,,,,,,
period1,sc01,t0072, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,,,,,,,,,,,
period1,sc01,t0073, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,,,,,,,,,,,
period1,sc01,t0074, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,,,,,,,,,,,
period1,sc01,t0075, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,,,,,,,,,,,
