,Node,Retailer,Technology,StorageType,OutflowsType,EnergyType,MustRun,NoOperatingReserve,BinaryCommitment,StorageInvestment,BinaryInvestment,BinaryRetirement,MaxCommitment,StandByStatus,FixedAvailability,InitialPeriod,FinalPeriod,MaximumPower,MinimumPower,StandByPower,MaximumCharge,MinimumCharge,InitialStorage,MaximumStorage,MinimumStorage,Efficiency,ProductionFunction,MaxCompressorConsumption,Availability,RampUp,RampDown,UpTime,DownTime,UpTimeZero,DownTimeZero,ReserveConsecutiveTime,CO2EmissionRate,FuelCost,OMVariableCost,LinearTerm,ConstantTerm,StartUpCost,ShutDownCost,FixedChargeRate,FixedInvestmentCost,FixedRetirementCost,InvestmentLo,InvestmentUp,RetirementLo,RetirementUp,MaxInflowsCons,MinInflowsCons,MaxOutflowsProd,MinOutflowsProd,OutflowsRampUp,OutflowsRampDown,DegradationCost
AEL_01,Node2,HydR_01,Electrolyzer,,,,,Yes,Yes,,,,,No,,2040,2050,1000.0,140.0,0.52,52.5,7.84,,,,,56.82,,,120,120,,,0.0,3.0,,,1,18.2,,0.0,30.0,5.0,,,,,,,,,,10000.0,3000.0,,,0.07
PEMEL_01,Node2,HydR_01,H2ESS,Hourly,Daily,,,Yes,,,,,,,,2040,2050,912.3,,,900.0,,15.0,22.0,12.0,0.975,,0.0012,,120,120,,,,,,,1,18.2,,,,,,,,,,,,,,,,120.0,120.0,0.0
