hour,FCRD_Up,FCRD_Down,FCRN_Up,FCRN_Down
2025-01-01 01:00:00,0.0,0.0,0.14000000000000057,0.06950000000000145
2025-01-01 02:00:00,0.0,0.0,0.2995000000000019,0.006499999999999062
2025-01-01 03:00:00,0.0,0.0,0.14800000000001035,0.021000000000000796
2025-01-01 04:00:00,0.0,0.0,0.49800000000000466,0.0010000000000012221
2025-01-01 05:00:00,0.0,0.0,0.12250000000000938,0.06250000000000355
2025-01-01 06:00:00,0.0,0.0012499999999997513,0.0009999999999976694,0.32899999999999635
2025-01-01 07:00:00,0.0,0.014874999999999083,0.03849999999999909,0.49350000000000166
2025-01-01 08:00:00,0.0,0.0,0.15849999999999653,0.03100000000000236
2025-01-01 09:00:00,0.0,0.0,0.08999999999999986,0.05600000000000094
2025-01-01 10:00:00,0.0,0.0,0.2959999999999887,0.08100000000000307
2025-01-01 11:00:00,0.0,0.0,0.4710000000000001,0.0
2025-01-01 12:00:00,0.0,0.0,0.28600000000000136,0.05250000000000199
2025-01-01 13:00:00,0.0,0.0,0.06250000000001066,0.06899999999999906
2025-01-01 14:00:00,0.0,0.0,0.08749999999999858,0.12699999999999534
2025-01-01 15:00:00,0.0,0.0,0.04549999999999699,0.2305000000000028
2025-01-01 16:00:00,0.0,0.008624999999999439,0.004000000000001336,0.5394999999999982
2025-01-01 17:00:00,0.0,0.0,0.11850000000000449,0.03049999999999997
2025-01-01 18:00:00,0.0,0.0,0.16000000000000014,0.013500000000000512
2025-01-01 19:00:00,0.0,0.0,0.04949999999999477,0.1405000000000065
2025-01-01 20:00:00,0.0,0.0,0.04299999999999571,0.2524999999999977
2025-01-01 21:00:00,0.0,0.0,0.10200000000000031,0.14450000000000074
2025-01-01 22:00:00,0.0,0.0,0.1340000000000039,0.016499999999997073
2025-01-01 23:00:00,0.0,0.0,0.03249999999999886,0.11850000000000094
2025-01-02 00:00:00,0.014124999999999943,0.0,0.19449999999999576,0.2625000000000064
2025-01-02 01:00:00,0.0,0.0,0.11149999999999238,0.029500000000002302
2025-01-02 02:00:00,0.0,0.0,0.07050000000000267,0.21650000000000347
2025-01-02 03:00:00,0.0,0.005499999999999616,0.08300000000000196,0.2870000000000054
2025-01-02 04:00:00,0.0,0.0,0.15050000000000807,0.0010000000000012221
2025-01-02 05:00:00,0.0,0.0,0.21649999999999991,0.02750000000000341
2025-01-02 06:00:00,0.0,0.0,0.1395000000000053,0.07900000000000063
2025-01-02 07:00:00,0.0,0.0,0.013500000000004064,0.19599999999999795
2025-01-02 08:00:00,0.0,0.0,0.058499999999998664,0.10299999999999798
2025-01-02 09:00:00,0.0,0.0,0.6524999999999999,0.0
2025-01-02 10:00:00,0.0,0.0,0.1550000000000047,0.06950000000000145
2025-01-02 11:00:00,0.0,0.0,0.06550000000000367,0.11250000000000071
2025-01-02 12:00:00,0.0,0.0,0.0010000000000012221,0.27649999999999864
2025-01-02 13:00:00,0.0,0.0,0.13349999999999795,0.02050000000000196
2025-01-02 14:00:00,0.0,0.0,0.21099999999999497,0.0015000000000000568
2025-01-02 15:00:00,0.0,0.0,0.4720000000000013,0.004000000000001336
2025-01-02 16:00:00,0.0,0.0,0.0259999999999998,0.19300000000000495
2025-01-02 17:00:00,0.0,0.0,0.04199999999999804,0.12500000000000355
2025-01-02 18:00:00,0.0,0.0,0.033500000000000085,0.17499999999999716
2025-01-02 19:00:00,0.0,0.0,0.1339999999999968,0.06000000000000938
2025-01-02 20:00:00,0.0,0.0,0.019000000000001904,0.21550000000000225
2025-01-02 21:00:00,0.0,0.0,0.13200000000000145,0.029000000000003467
2025-01-02 22:00:00,0.0,0.0,0.272000000000002,0.06850000000000378
2025-01-02 23:00:00,0.0,0.0,0.04649999999999821,0.3890000000000029
2025-01-03 00:00:00,0.0,0.0,0.06700000000000017,0.11600000000000321
2025-01-03 01:00:00,0.0,0.0,0.03900000000000148,0.20000000000000284
2025-01-03 02:00:00,0.0,0.0,0.0449999999999946,0.0934999999999988
2025-01-03 03:00:00,0.0,0.0,0.08950000000000813,0.11950000000000216
2025-01-03 04:00:00,0.0,0.0,0.015499999999999403,0.20200000000000884
2025-01-03 05:00:00,0.0,0.0,0.1735000000000042,0.029500000000002302
2025-01-03 06:00:00,0.0,0.0,0.18649999999999878,0.09299999999999642
2025-01-03 07:00:00,0.0,0.0,0.19700000000000273,0.07300000000000395
2025-01-03 08:00:00,0.0,0.0,0.09049999999999514,0.05499999999999616
2025-01-03 09:00:00,0.0,0.0,0.03200000000000003,0.13250000000000028
2025-01-03 10:00:00,0.0,0.0,0.16750000000000043,0.035000000000003695
2025-01-03 11:00:00,0.0,0.0,0.10000000000000497,0.06550000000000011
2025-01-03 12:00:00,0.0,0.0,0.11299999999999955,0.05950000000000344
2025-01-03 13:00:00,0.0,0.0,0.018000000000000682,0.3164999999999978
2025-01-03 14:00:00,0.0,0.0,0.07450000000000045,0.11950000000000571
2025-01-03 15:00:00,0.0,0.02737499999999926,0.08800000000000097,0.4895000000000003
2025-01-03 16:00:00,0.0,0.0,0.3135000000000048,0.0030000000000001137
2025-01-03 17:00:00,0.0,0.0,0.11550000000000082,0.1460000000000008
2025-01-03 18:00:00,0.0,0.0,0.18300000000000338,0.0045000000000001705
2025-01-03 19:00:00,0.0,0.0,0.09900000000000375,0.09600000000000364
2025-01-03 20:00:00,0.0,0.0,0.19099999999999184,0.026000000000003354
2025-01-03 21:00:00,0.0,0.0,0.13899999999999935,0.01950000000000429
2025-01-03 22:00:00,0.0,0.0,0.13149999999999906,0.13100000000000023
2025-01-03 23:00:00,0.0,0.0,0.337499999999995,0.0
2025-01-04 00:00:00,0.029124999999998735,0.0,0.5109999999999992,0.18849999999999767
2025-01-04 01:00:00,0.0,0.0,0.008500000000001506,0.2615000000000052
2025-01-04 02:00:00,0.0,0.0,0.05000000000000071,0.06699999999999662
2025-01-04 03:00:00,0.0,0.0,0.0954999999999977,0.01799999999999713
2025-01-04 04:00:00,0.0,0.0,0.17199999999999704,0.024499999999999744
2025-01-04 05:00:00,0.0,0.0,0.0400000000000027,0.07100000000000861
2025-01-04 06:00:00,0.0,0.0,0.04399999999999693,0.06150000000000233
2025-01-04 07:00:00,0.0,0.0,0.04350000000000165,0.2889999999999944
2025-01-04 08:00:00,0.0,0.0,0.08799999999999741,0.027999999999998693
2025-01-04 09:00:00,0.0,0.0,0.25299999999999656,0.014500000000001734
2025-01-04 10:00:00,0.0,0.0,0.08050000000000423,0.06900000000000261
2025-01-04 11:00:00,0.0,0.0,0.002500000000001279,0.17150000000000531
2025-01-04 12:00:00,0.0,0.0,0.08650000000000091,0.036499999999996646
2025-01-04 13:00:00,0.0,0.0,0.25950000000000273,0.013999999999999346
2025-01-04 14:00:00,0.0,0.0,0.05849999999999511,0.16900000000000048
2025-01-04 15:00:00,0.0,0.0,0.06150000000000233,0.0779999999999994
2025-01-04 16:00:00,0.0,0.0,0.021999999999998465,0.1455000000000055
2025-01-04 17:00:00,0.0,0.0,0.07550000000000168,0.05250000000000199
2025-01-04 18:00:00,0.0,0.0,0.127000000000006,0.06899999999999551
2025-01-04 19:00:00,0.0,0.0,0.05099999999999838,0.05999999999999872
2025-01-04 20:00:00,0.0,0.0,0.028999999999999915,0.24699999999999633
2025-01-04 21:00:00,0.0,0.0,0.20300000000000296,0.023999999999997357
2025-01-04 22:00:00,0.0,0.0,0.012500000000002842,0.142000000000003
2025-01-04 23:00:00,0.0,0.0,0.08800000000000452,0.045999999999999375
2025-01-05 00:00:00,0.0,0.0,0.05000000000000426,0.08800000000000452
2025-01-05 01:00:00,0.0,0.0,0.03049999999999642,0.08049999999999713
2025-01-05 02:00:00,0.0,0.0,0.08750000000000213,0.031500000000001194
2025-01-05 03:00:00,0.0,0.0,0.3754999999999882,0.0
2025-01-05 04:00:00,0.0,0.0,0.10500000000000753,0.013500000000000512
2025-01-05 05:00:00,0.0,0.0,0.14600000000000435,0.009000000000003894
2025-01-05 06:00:00,0.0,0.0,0.017499999999998295,0.1635000000000062
2025-01-05 07:00:00,0.0,0.0,0.0004999999999988347,0.3585000000000065
2025-01-05 08:00:00,0.0,0.0,0.32949999999999235,0.025500000000000966
2025-01-05 09:00:00,0.0,0.0,0.023999999999997357,0.07349999999999568
2025-01-05 10:00:00,0.0,0.0,0.16250000000000497,0.02050000000000196
2025-01-05 11:00:00,0.0,0.0,0.18750000000000355,0.023500000000002075
2025-01-05 12:00:00,0.0,0.0,0.07350000000000279,0.04450000000000287
2025-01-05 13:00:00,0.0,0.0,0.02500000000000213,0.10650000000000759
2025-01-05 14:00:00,0.0,0.0,0.03399999999999892,0.06750000000000611
2025-01-05 15:00:00,0.0,0.0,0.051000000000005485,0.07350000000000279
2025-01-05 16:00:00,0.0,0.0,0.1385000000000005,0.0470000000000006
2025-01-05 17:00:00,0.0,0.0,0.041499999999999204,0.19550000000000267
2025-01-05 18:00:00,0.0,0.0,0.02049999999999841,0.137000000000004
2025-01-05 19:00:00,0.0,0.0,0.059499999999999886,0.07499999999999929
2025-01-05 20:00:00,0.0,0.0,0.18250000000000455,0.11749999999999972
2025-01-05 21:00:00,0.0,0.0,0.13450000000000273,0.055999999999997385
2025-01-05 22:00:00,0.0,0.0,0.0555000000000021,0.2175000000000047
2025-01-05 23:00:00,0.0,0.005999999999999339,0.05350000000000321,0.2659999999999968
2025-01-06 00:00:00,0.0,0.0,0.04050000000000509,0.15400000000000347
2025-01-06 01:00:00,0.0,0.0,0.06949999999999434,0.06850000000000378
2025-01-06 02:00:00,0.0,0.0,0.37849999999999895,0.05099999999999838
2025-01-06 03:00:00,0.0,0.0,0.030500000000007077,0.061499999999995225
2025-01-06 04:00:00,0.0,0.0,0.029999999999997584,0.11050000000000537
2025-01-06 05:00:00,0.0,0.0,0.03400000000000247,0.07600000000000762
2025-01-06 06:00:00,0.0,0.0,0.09499999999999886,0.19950000000000045
2025-01-06 07:00:00,0.004624999999999879,0.0,0.4670000000000016,0.006499999999999062
2025-01-06 08:00:00,0.0,0.0,0.07299999999999329,0.06999999999999673
2025-01-06 09:00:00,0.0,0.0,0.03950000000000031,0.1374999999999993
2025-01-06 10:00:00,0.0,0.0,0.0625,0.0890000000000093
2025-01-06 11:00:00,0.0,0.0,0.04949999999999832,0.029999999999997584
2025-01-06 12:00:00,0.0,0.0,0.04749999999999943,0.07849999999999824
2025-01-06 13:00:00,0.0,0.0,0.07600000000000406,0.04949999999999832
2025-01-06 14:00:00,0.0,0.0,0.026000000000003354,0.08699999999999619
2025-01-06 15:00:00,0.0,0.0,0.13299999999999912,0.03950000000000031
2025-01-06 16:00:00,0.0,0.0,0.2835000000000072,0.02050000000000196
2025-01-06 17:00:00,0.0,0.0,0.1130000000000031,0.03100000000000236
2025-01-06 18:00:00,0.00012499999999970868,0.0,0.2785000000000039,0.11599999999999966
2025-01-06 19:00:00,0.0,0.0,0.06299999999999883,0.17400000000000304
2025-01-06 20:00:00,0.0,0.0004999999999997229,0.04499999999999815,0.30250000000000127
2025-01-06 21:00:00,0.0,0.0,0.0004999999999988347,0.577499999999997
2025-01-06 22:00:00,0.0,0.0,0.2879999999999967,0.11850000000000094
2025-01-06 23:00:00,0.0,0.0,0.033500000000000085,0.16500000000000625
2025-01-07 00:00:00,0.0,0.0,0.02699999999999747,0.25350000000000605
2025-01-07 01:00:00,0.0,0.0,0.34349999999998815,0.0
2025-01-07 02:00:00,0.0,0.0,0.24250000000000682,0.06149999999999878
2025-01-07 03:00:00,0.0,0.0,0.023999999999997357,0.20999999999999375
2025-01-07 04:00:00,0.0,0.0,0.15899999999999892,0.041499999999999204
2025-01-07 05:00:00,0.0,0.0,0.14150000000000063,0.2879999999999967
2025-01-07 06:00:00,0.0,0.0,0.2829999999999977,0.0884999999999998
2025-01-07 07:00:00,0.0,0.0,0.12099999999999511,0.0849999999999973
2025-01-07 08:00:00,0.0,0.0,0.050499999999999545,0.09750000000000014
2025-01-07 09:00:00,0.0,0.0,0.04200000000000159,0.21450000000000102
2025-01-07 10:00:00,0.0,0.0,0.10250000000000625,0.06449999999999889
2025-01-07 11:00:00,0.0,0.0,0.05699999999999861,0.07700000000000529
2025-01-07 12:00:00,0.0,0.0,0.03300000000000125,0.1269999999999989
2025-01-07 13:00:00,0.0,0.0,0.04100000000000392,0.05799999999999983
2025-01-07 14:00:00,0.0,0.0,0.07499999999999929,0.03550000000000253
2025-01-07 15:00:00,0.0,0.0,0.03100000000000236,0.18200000000000216
2025-01-07 16:00:00,0.0,0.0,0.07950000000000301,0.06800000000000139
2025-01-07 17:00:00,0.0,0.0,0.042500000000000426,0.17300000000000182
2025-01-07 18:00:00,0.0,0.0,0.036000000000001364,0.23049999999999926
2025-01-07 19:00:00,0.0,0.0,0.053000000000000824,0.17450000000000188
2025-01-07 20:00:00,0.0,0.0,0.05349999999999966,0.10749999999999815
2025-01-07 21:00:00,0.0,0.0,0.14650000000000674,0.028999999999999915
2025-01-07 22:00:00,0.0,0.0,0.11749999999999972,0.08400000000000318
2025-01-07 23:00:00,0.0,0.0,0.055500000000005656,0.14400000000000546
2025-01-08 00:00:00,0.0,0.0003750000000000142,0.0940000000000012,0.23400000000000104
2025-01-08 01:00:00,0.0,0.0,0.13900000000000645,0.01850000000000307
2025-01-08 02:00:00,0.0,0.0,0.0034999999999989484,0.14250000000000185
2025-01-08 03:00:00,0.0,0.0,0.17099999999999937,0.012999999999998124
2025-01-08 04:00:00,0.0,0.0,0.15050000000000097,0.016499999999997073
2025-01-08 05:00:00,0.0,0.0,0.12700000000000244,0.10499999999999332
2025-01-08 06:00:00,0.0,0.0,0.26250000000000284,0.02949999999999875
2025-01-08 07:00:00,0.0,0.0,0.247999999999994,0.029999999999997584
2025-01-08 08:00:00,0.0,0.0,0.0660000000000025,0.08699999999999619
2025-01-08 09:00:00,0.0,0.0,0.04049999999999798,0.07550000000000168
2025-01-08 10:00:00,0.0,0.0,0.11049999999999827,0.0625
