datetime_utc,fcr_n_eur_mw,fcr_d_up_eur_mw,fcr_d_down_eur_mw
2025-01-01T00:00:00Z,18.776237154150195,1.0502155887230513,6.725499600319744
2025-01-01T01:00:00Z,18.466442687747037,1.0250248756218905,7.668324324324325
2025-01-01T02:00:00Z,19.302545454545456,1.124726368159204,7.780975609756098
2025-01-01T03:00:00Z,18.683620553359685,1.3102813036020584,8.416488167213682
2025-01-01T04:00:00Z,18.914782608695653,1.2990051457975986,8.477346153846154
2025-01-01T05:00:00Z,15.838260869565216,7.042142620232172,18.4211731548353
2025-01-01T06:00:00Z,16.12727272727273,7.048825870646766,14.717387616624256
2025-01-01T07:00:00Z,15.97582608695652,7.050303432266622,9.502271978926572
2025-01-01T08:00:00Z,15.97582608695652,7.099656946826759,9.493881578947368
2025-01-01T09:00:00Z,15.97582608695652,7.2169490963356,9.475374239184077
2025-01-01T10:00:00Z,15.97582608695652,7.110908488063661,9.978829955947136
2025-01-01T11:00:00Z,15.97582608695652,6.914351851851852,10.670306607929517
2025-01-01T12:00:00Z,15.97582608695652,6.942359396433471,10.782132158590308
2025-01-01T13:00:00Z,15.646652173913044,6.791611405835544,10.700666079295154
2025-01-01T14:00:00Z,15.798735177865613,7.545405237873857,10.681085462555066
2025-01-01T15:00:00Z,15.730173913043478,7.746607032695867,10.666748898678414
2025-01-01T16:00:00Z,15.742292490118576,7.76363776850564,10.072394713656388
2025-01-01T17:00:00Z,17.58478260869565,2.577200534362476,1.9990875620297743
2025-01-01T18:00:00Z,16.82396837944664,2.3119630723781386,2.3016517412935324
2025-01-01T19:00:00Z,16.86707509881423,1.538109305760709,2.4299003322259134
2025-01-01T20:00:00Z,17.46411067193676,1.1556854775676098,2.4556812426135406
2025-01-01T21:00:00Z,18.92292490118577,1.1983847429519072,2.42454861686268
2025-01-01T22:00:00Z,18.90118577075099,1.32955223880597,2.4451871657754007
2025-01-01T23:00:00Z,14.657333333333332,2.180800344234079,7.106821520068317
2025-01-02T00:00:00Z,15.362958333333331,2.076133689839572,7.094497011101622
2025-01-02T01:00:00Z,14.650916666666665,2.180800344234079,7.670666097352689
2025-01-02T02:00:00Z,14.209333333333332,2.428867469879518,7.002859020703253
2025-01-02T03:00:00Z,13.9235,2.4539251336898396,7.653706233988045
2025-01-02T04:00:00Z,14.551041666666666,2.722103386809269,7.5170572160546545
2025-01-02T05:00:00Z,15.0,6.603876075731498,7.273319223985891
2025-01-02T06:00:00Z,14.817536071032187,6.752481927710843,7.257410934744269
2025-01-02T07:00:00Z,15.0,6.996419965576592,8.116814814814814
2025-01-02T08:00:00Z,15.0,6.8909090909090915,8.162680776014108
2025-01-02T09:00:00Z,15.0,6.935508021390374,7.238320987654322
2025-01-02T10:00:00Z,14.422164536741214,6.807242685025818,7.3464973544973535
2025-01-02T11:00:00Z,14.35335463258786,6.679518072289157,7.336952380952381
2025-01-02T12:00:00Z,15.0,6.731876075731497,7.22226278659612
