,,,Solar_01,BESS_01,EV_01,AEL_01,PEMEL_01,EV_02,EV_03,EV_04,EV_05,EV_06,EV_07,EV_08,EV_09,EV_10,EV_11,EV_12,EV_13,EV_14,EV_15,EV_16,EV_17,EV_18,EV_19,EV_20
period1,sc01,t0073, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0074, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0075, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0076, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0077, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0078, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0079, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0080, 0.000000387 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0081, 0.003554347 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0082, 0.28546379 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0083, 1.159266528 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0084, 2.822031361 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0085, 3.547636563 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0086, 3.071923177 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0087, 1.719053472 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0088, 0.165562441 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0089, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0090, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0091, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0092, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0093, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0094, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0095, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0096, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0097, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0098, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0099, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0100, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0101, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0102, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0103, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0104, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0105, 0.0000448 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0106, 0.31009967 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0107, 0.810715139 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0108, 3.649884029 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0109, 3.811767697 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0110, 2.800629242 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0111, 1.609803874 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0112, 0.162034434 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0113, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0114, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0115, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0116, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0117, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0118, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0119, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0120, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0121, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0122, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0123, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0124, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0125, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0126, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0127, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0128, 0.000000621 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0129, 0.00356562 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0130, 0.243375066 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0131, 1.839396125 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0132, 3.910698836 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0133, 4.65015914 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0134, 3.332380431 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0135, 1.130712587 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0136, 0.162029032 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0137, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0138, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0139, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0140, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0141, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0142, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0143, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0144, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0145, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0146, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0147, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0148, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0149, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0150, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0151, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
